Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Great experience aside from WiFi initial connection issue,WiFi required SMS verification but SMS did not deliver at all. I have tried 5 times using different SIM cards but still did not work.,,9.0,March 2024,"March 31, 2024",Premier King Room with Free wifi,1,Solo traveler,7.7,0,0,0,1,0,0,0,0,0,0
Wonderful,It was a bit noisy,"Good level of service,  modern international chain",9.0,March 2024,"March 13, 2024",Standard King Room with Free WiFi,1,Solo traveler,7.7,0,0,0,0,1,0,0,0,0,0
Wonderful,Everything,Everything,9.0,February 2024,"February 20, 2024",Premier Twin Room with Free wifi,1,Family,7.7,0,0,0,0,0,0,0,0,0,0
Perfect stopover,,So convenient and had everything we needed before flying out,9.0,December 2023,"January 17, 2024",Standard King Room with Free WiFi,1,Couple,7.7,0,0,0,0,0,0,0,0,1,0
Comfortable stay,,Everything was excellent,9.0,December 2023,"January 3, 2024",Standard King Room with Free WiFi,1,Family,7.7,0,0,0,0,0,0,0,0,0,0
Wonderful,,"Staff was very courteous, helpful and professional.",9.0,December 2023,"December 26, 2023",Standard Twin Room with Free WiFi,1,Family,7.7,0,0,0,0,1,0,0,0,0,0
Wonderful,,Clean property. Friendly staff and good location from the airport,9.0,December 2023,"December 26, 2023","Superior King Room-- Lounge access with Cocktail Hours,15% discount on hotel service",1,Group,7.7,1,0,0,0,1,0,0,0,1,0
Price Should be Reduced,All OK,Good,9.0,December 2023,"December 26, 2023",Standard Twin Room with Free WiFi,1,Group,7.7,0,0,0,0,0,0,0,0,0,0
Very Good,"We were made to wait for check in for a long time even though we had booked the room in advance. Our chosen room was unavailable but the staff gave us an upgrade. 
The power bracket was loose so the card needed adjusting for the lights to stay on.",The location is very good as few minutes away from the airport.,8.0,December 2023,"December 10, 2023",Standard King Room with Free WiFi,1,Family,7.7,0,1,0,0,0,1,0,0,1,0
"Hotel is so beautiful, spacious and very clean. However, the breakfast needs more variety and items.","Some of the staff make you feel very guilty if you do not tip them, they do not want to understand they you haven’t exchanged any money as you only just arrived in the country.",Location and facilities/amenities at the property are excellent. Very secure and staff are very friendly and helpful.,9.0,November 2023,"November 22, 2023",Standard King Room with Free WiFi,4,Couple,7.7,0,0,1,0,1,1,0,0,1,0
"This is my fourth time, I will stay again in the near future .",,"The hotel is very close to the airport.  The staff are very friendly and professional , my room was very clean  . I really love this hotel.",9.0,November 2023,"November 18, 2023",Standard King Room with Free WiFi,1,Solo traveler,7.7,1,0,0,0,1,0,0,0,0,0
Nice hotel,The shared spa with the Pullman wasn't easy to find from the Novotel.,,9.0,October 2023,"November 2, 2023",Premier King Room with Free wifi,1,Solo traveler,7.7,0,0,0,1,0,0,0,0,0,0
Great pre (or post) flight stay.,,Very convenient for the airport.,8.0,September 2023,"October 19, 2023",Standard Twin Room with Free WiFi,1,Family,7.7,0,0,0,0,0,0,0,0,1,0
"Wonderful hotel, highly recommend it to everyone.","There was smoking in the neighboring rooms and the smell penetrated into my room. It was very annoying and I couldn't sleep for a long time. The air conditioner does not help in this case.
There was no robe to change into after the shower.",The staff is professional and responds to requests quickly and clearly. Convenient and comfortable room. The air conditioner works. Clean and stylish.,9.0,October 2023,"October 15, 2023",Standard Twin Room with Free WiFi,1,Couple,7.7,1,1,0,0,1,0,0,0,1,0
Great for a quick overnight stay before / after a flight,,Staff. Location. Comfort.,9.0,September 2023,"September 29, 2023",Standard King Room with Free WiFi,1,Couple,7.7,0,0,0,0,1,0,0,0,1,0
"Good hotel, extremely expensive transfer if you use their cars",Hotel taxi that cost almost like a night in the hotel to go to Delhi center: 70 $.,Spacious room and very comfortable bed,8.0,August 2023,"September 24, 2023",Standard King Room with Free WiFi,1,Couple,7.7,1,0,1,0,0,0,0,0,0,1
Great transit hotel,,The staff were super helpful and accommodating. Special shout-out to sahil at the front desk who not only arranged for a cake for my parents at short notice but also assisted in getting us a car to the airport despite the Delhi g20 lockdown. Cheers!,9.0,September 2023,"September 22, 2023",Standard King Room with Free WiFi,1,Couple,7.7,0,0,0,0,1,0,0,0,0,0
Was a nice stay,,Anshuman Joshi at the front desk was a really sweet person.,9.0,September 2023,"September 20, 2023",Standard King Room with Free WiFi,1,Family,7.7,0,0,0,0,0,0,0,0,0,0
I like everything about this hotel but when i was checking in on that day one rude customer was shouting on hotel staff,,"Location, Hotel, Rooms",8.0,August 2023,"September 17, 2023",Standard Twin Room with Free WiFi,1,Group,7.7,1,0,0,0,0,0,0,0,1,0
Wonderful,Valet service is very slow,"Nice ambiance 
Good and clean rooms 
Courteous staff",9.0,September 2023,"September 3, 2023",Standard King Room with Free WiFi,1,Solo traveler,7.7,1,0,0,0,1,1,0,0,0,0
Wonderful,,"Buffet dinner, Gym, nice clean room.",9.0,September 2023,"September 1, 2023",Standard King Room with Free WiFi,1,Solo traveler,7.7,1,0,1,0,0,0,1,0,0,0
Excellent experience.,Staffs were very professional.,"Good room, elaborate breakfast, very close to airport.",8.0,September 2023,"September 1, 2023",Standard King Room with Free WiFi,1,Couple,7.7,1,0,0,0,0,1,1,0,0,0
Good,Whoops... see above,The music from the bar was very very very loud. I couldn't here the man that was booking me in at the arrival desk... so ridiculous... it's a hotel for usually tired travellers and to be greeted by this horrible noise felt like an assault. They eventually turned it down after many requests. Was by just me ... others waiting also hated the noise.,7.0,July 2023,"August 23, 2023",Standard King Room with Free WiFi,1,Solo traveler,7.7,0,0,1,0,0,0,0,0,0,0
Luxurious stay in very convenient location.,"I felt the hotel cab fares to the domestic airport was bit of a rip-off as compared to other (and comparable) hotels in Aerocity. Apart from that, there was nothing else to dislike.",It is a luxurious hotel in very convenient location for air travellers. The hotel room was very comfortable with all essential amenities. The buffet breakfast was sumptuous. Staff are friendly and helpful.,9.0,July 2023,"August 23, 2023",Standard King Room with Free WiFi,1,Solo traveler,7.7,1,0,0,0,1,0,1,0,1,0
Excellent hôtel,So complex to achieve the parking place. Pls make common entrance with Pullman. We lost 25 minutes from highway gate to lobby ??!! Because of taxi restrictions over one gate.,Nice location,9.0,August 2023,"August 21, 2023",Standard King Room with Free WiFi,1,Solo traveler,7.7,0,0,0,1,0,0,0,0,1,0
Value for money with smile 😊,"I have always experienced that if I book a taxi to airport from hotel it’s never there waiting even if called the reception night before,I suggest to go down to reception 15 mins before you asked for taxi ,especially if you have flight prior to 7 am to catch to avoid any haste getting to airport.","As mentioned in my previous review and the reasons I keep on returning to this property is best value for money compared to any other hotel in aero city,a cluster of hotels including international chain of hotels located 10-15 mins from New Delhi domestic and international terminal. Novotel in my opinion offers everything that other hotels do ,but at best best price as I have had stays in other hotels of aero city as well .
Also the staff is very polite,smiling and helpful.
Foods of different ethnicity are available especially the variety and taste of Indian food is great. The rooms are quite comfortable beds to sleep in . Transfer to airport is also offered on payment mostly unless may be part of booking package.
I plan a return to delhi in 2 days and will stay again with them.",8.0,August 2023,"August 17, 2023",Premier King Room with Free wifi,1,Couple,7.7,1,0,0,0,1,0,1,0,1,0
Efficient and comfortable hotel close to Delhi airport,,"Airport pickup service was flawless, and checkin quick and efficient.  The room was a decent size, and comfortable.",9.0,August 2023,"August 16, 2023",Standard King Room with Free WiFi,1,Solo traveler,7.7,1,0,0,0,1,0,0,0,0,0
Comfortable and convenient,,"food, rooms, services, value for money",9.0,August 2023,"August 8, 2023",Standard King Room with Free WiFi,1,Couple,7.7,1,0,0,0,1,0,1,0,0,0
"Good value, checkin could be quicker",very slow checking and also slowish checkout. maybe it’s Indian administration but it was slow. not what is needed after a long haul flight.,"convenient location although perhaps not an attractive location for cabs from airport
secure and safe",8.0,August 2023,"August 7, 2023",Premier King Room with Free wifi,3,Solo traveler,7.7,0,0,0,0,0,0,0,0,1,0
One of the finest place to stay at an affordable prices,,😁🤣It was superlative,9.0,July 2023,"August 5, 2023",Standard King Room with Free WiFi,2,Solo traveler,7.7,0,0,0,0,0,0,0,0,0,0
"Room, food staff were excellent. Slight drawback is that housekeeping staff needs multiple reminders to fulfil any reque","Network is extremely poor, it is impossible to make normal phone calls, hotel needs to maybe instal boosters because all calls cannot be made via WiFi","Proximity to airport, excellent food, comfortable room and courteous, friendly staff.",8.0,July 2023,"July 31, 2023",Standard King Room with Free WiFi,1,Couple,7.7,1,0,0,1,1,0,1,0,1,0
Convenient,,Staff was courteous,9.0,July 2023,"July 29, 2023",Standard King Room with Free WiFi,1,Solo traveler,7.7,0,0,0,0,1,0,0,0,0,0
I was there for a day and quite satisfy,all fine,all,9.0,July 2023,"July 28, 2023",Standard King Room with Free WiFi,1,Solo traveler,7.7,0,0,0,0,0,0,0,0,0,0
great stay,Breakfast could have been better. I didn't like the taste of most of the food on offer.,"Rooms, Courtesy of staff, location",8.0,July 2023,"July 26, 2023",Standard King Room with Free WiFi,1,Group,7.7,1,0,0,0,1,0,0,1,1,0
Nice place to stay.,Somewhat disorderly Lobby,Great location.,8.0,July 2023,"July 17, 2023",Standard King Room with Free WiFi,1,Solo traveler,7.7,0,0,0,1,0,0,0,0,1,0
Very Good,In room dining staff should have been more courteous.,"Location was great, rooms were clean.",8.0,May 2023,"July 14, 2023",Premier King Room with Free wifi,2,Couple,7.7,1,1,0,0,0,1,0,0,1,0
It was a wonderful stay,Over crowded and some guests were almost impossible to manage,Ambience was good. Staffs were kind,8.0,July 2023,"July 12, 2023",Standard King Room with Free WiFi,3,Family,7.7,0,0,0,1,1,0,0,0,0,0
Wonderful,nothing particularly,location hospitality,9.0,June 2023,"June 9, 2023",Standard King Room with Free WiFi,2,Solo traveler,7.7,0,0,0,0,0,0,0,0,1,0
Friendly hotel for business trip,No.,"Highly efficient for business trip, very friendly staff, quite helpful. I particularly like the quiet room with gentle sunshine in the early morning.",9.0,June 2023,"June 9, 2023",Premier Twin Room with Free wifi,1,Solo traveler,7.7,1,0,0,0,1,0,0,0,0,0
Very Good,Corridor was long to walk.bath tub not  available,Location was good. And staff friendly,8.0,June 2023,"June 4, 2023",Premier King Room with Free wifi,1,Couple,7.7,0,0,0,0,1,0,0,0,1,0
Very Good,Couldn't get a regular taxi back to the airport had to take a hotel provided one which cost 7 times more than the regular one we had from airport to hotel,It was handy for the airport,8.0,May 2023,"June 1, 2023",Standard Twin Room with Free WiFi,1,Solo traveler,7.7,0,0,0,0,0,0,0,0,0,0
Great value,,Convenient location for travellers in transit,9.0,March 2023,"May 29, 2023",Standard King Room with Free WiFi,1,Solo traveler,7.7,0,0,0,0,0,0,0,0,1,0
Wonderful,Room size very small,"Great food , staff",9.0,May 2023,"May 16, 2023",Standard King Room with Free WiFi,1,Family,7.7,0,1,0,0,1,0,1,0,0,0
I like the value that Novotel Aerocity provides,,"Excellent breakfast and the location of the hotel make it a very convenient place for business travelers. Also, the 24 hour coffee shop is quite a decent place to hold early or late meetings.",9.0,March 2023,"May 3, 2023",Standard Twin Room with Free WiFi,1,Solo traveler,7.7,0,0,0,0,0,0,1,0,1,0
"great location, clean and well worth the money.",I think it’s more of an issue for Booking.Com as they certainly don’t make it clear exactly how much the property is. they leave it as a surprise until you get there….,"close to airport, clean.",8.0,March 2023,"May 3, 2023",Premier King Room with Free wifi,2,Solo traveler,7.7,1,0,0,0,0,0,0,0,0,0
"Ideal location, heart of the city, clean and great service",A bit compact,Great location. Close to all points. Well maintained. Excellent facilities. Hospitable staff,9.0,April 2023,"April 19, 2023",Premier King Room with Free wifi,1,Couple,7.7,0,0,1,0,1,0,0,0,1,0
Cool hotel with annoying and disappointing room service,"Extremely bad and unorganized room service: towels are taken out and no new ones placed
Minibar is not refilled
Dirty trousers are put on the (why moving around the trousers)
Ringing at the door and asking if one just moved in, when one want s to move out
etc. etc.

Pool could be open a little longer than 8pm

Reception is always a little long waiting… very often not all deals are operated which makes long waiting times even more annoying

Separate invoicing for restaurant, room service and hotel without the chance to put it on the room","Delicious food

Clean and nice rooms

Great pool",8.0,April 2023,"April 17, 2023",Premier King Room with Free wifi,3,Solo traveler,7.7,1,1,0,1,0,1,1,1,0,0
Wonderful,I dislike to come again in this hotel because Rates of all services and food very high then other similar hotel no complementary break fast eventhough guest paying ₹9292 per night and airport drop charges too high in simple words hotel is very costly in comparison of other similar hotel and no complementary break fast so avoid to come again eventhough it's good hotel,No breakfast even though I paid ₹9292/ location somewhat far then other hotels,9.0,April 2023,"April 5, 2023",Premier King Room with Free wifi,1,Solo traveler,7.7,0,0,0,0,0,1,1,1,1,0
Very comfortable and convenient,"There isn't a great spot with even lighting to do makeup. The lighting is interesting, but top-lit spots aren't great for seeing your face clearly.","Quick check-in. Clean modern rooms, smelled nice, fabulous bed, good pillows, soft sheets. Great shower and useful dispensers. Everything was just great.",9.0,April 2023,"April 1, 2023",Standard King Room with Free WiFi,1,Solo traveler,7.7,1,0,0,0,0,0,0,0,0,0
Good,coffee shop is too expensive .. a coffe is 1000 rupees feel that looting people ....at least make it 500 rupees is fine,,7.0,April 2023,"April 1, 2023",Standard King Room with Free WiFi,1,Solo traveler,7.7,0,0,0,0,0,0,0,0,0,0
Very Good,cost of airport transfer  : out of scope,,8.0,March 2023,"March 28, 2023",Standard Twin Room with Free WiFi,1,Couple,7.7,0,0,0,0,0,0,0,0,0,0
"A peaceful, refreshing and high quality stay before boarding a plane for a long haul flight!","Check in and check out was very slow. Check out should have its own service desks because it is quicker.
My swipe card stopped working twice during my less than 24 hour stay. I had to stand in long queues to have it reactivated which was frustrating.
Only one side of the bed had a power point. There should be one on each side for when two people stay in the room.
A better quality coffee should be provided in the room.  A Nespresso machine should be standard for a five star hotel. The milk ran out, little cartons would be better.","The staff across all the different services were very friendly and efficient. The room was very comfortable, bright and had a good outlook. The gym, pool and steam room were well maintained, with a visible presence of staff for assistance.
The snack board provided at the bar was a delicious and pleasant surprise and ample in size!
The masala chai tea bags were flavoursome. The other tea options were also good.
There was plenty of bottled drinking water.",9.0,March 2023,"March 25, 2023",Premier King Room with Free wifi,1,Solo traveler,7.7,1,1,1,0,1,1,1,0,0,0
consider staying again on my next trip,Friendly & helpfull staff,Near the Airport & near Metro station,9.0,March 2023,"March 24, 2023",Premier King Room with Free wifi,1,Solo traveler,7.7,0,0,0,0,0,1,0,0,0,0
Very comfortable stay near the airport for a layover,Had trouble communicating about our pick up at the airport and waited a while to check in when we arrived.,"Great facilities, very luxury. Good room service menu late night and the private car to and from the airport was great",9.0,February 2023,"March 16, 2023",Standard Twin Room with Free WiFi,1,Group,7.7,1,0,1,0,1,0,1,0,0,0
I liked that the my early check in was accomodated without extra cost. fFriendly & helpdul staff. Clean hotel,That you can’t book a ordinary Taxi from the hotel unless you use an App or the hotel taxi which is very expensive,Close to the Airport and Metro station,8.0,March 2023,"March 15, 2023",Premier King Room with Free wifi,1,Solo traveler,7.7,0,0,0,0,0,0,0,0,0,0
Wonderful,nice area,very nice mostly swimming pool is wow,9.0,March 2023,"March 14, 2023","Superior King Room-- Lounge access with Cocktail Hours,15% discount on hotel service",5,Couple,7.7,0,0,1,0,0,0,0,0,0,0
comfortable,Pool was nice but down side too many staff stare at guests swimming. very uncomfortable.,location,8.0,March 2023,"March 7, 2023",Standard Twin Room with Free WiFi,2,Family,7.7,0,0,0,0,0,1,0,0,1,0
good,The swimming pool is too far.,location,9.0,December 2022,"March 3, 2023",Standard Twin Room with Free WiFi,1,Family,7.7,0,0,0,1,0,0,0,0,1,0
Great location and very nice hotel,The only problem was the bed was not comfortable.  The room thermostat did not have a way to change the target temperature. The temperature in the room was cool we just turned down the fan so the cold air did not blow as hard.,The location was very convenient from the airport.  The value was good.  The breakfast had a lot of choices.  The rooms were clean. The coffee bar opposite the courtyard was a pleasant surprise.  It offered good desserts and coffee.,9.0,February 2023,"March 1, 2023",Standard King Room with Free WiFi,1,Couple,7.7,1,1,1,0,0,0,1,0,1,0
Will return to stay again when in New Delhi,,Great location near the airport.,8.0,February 2023,"February 22, 2023",Standard King Room with Free WiFi,1,Couple,7.7,0,0,0,0,0,0,0,0,1,0
Very Good,Room size,"The breakfast was amazing
Highly recommend",8.0,January 2023,"January 22, 2023",Standard Twin Room with Free WiFi,1,Family,7.7,0,1,0,0,0,0,1,0,0,0
Wonderful,,Good Hotel for a short stay,9.0,December 2022,"January 22, 2023",Standard King Room with Free WiFi,1,Family,7.7,0,0,0,0,0,0,0,0,0,0
Wonderful,Dinner Restaurants open 19:00... Not earlier,Great location,9.0,January 2023,"January 15, 2023",Standard King Room with Free WiFi,1,Family,7.7,0,0,0,0,0,0,0,1,1,0
Great hotel for airport transfers with helpful staff and delicious food,,The staff was friendly. The food was tasty. The bathroom and shower were clean. The room was well organized. The location to the airport was just perfect.,9.0,January 2023,"January 12, 2023",Standard King Room with Free WiFi,1,Couple,7.7,1,0,0,0,1,0,1,0,1,0
Wonderful,They could have a mini breakfast felicity in the Premier lounge,"Very courteous , obliging and supportive staff",9.0,January 2023,"January 11, 2023","Superior Suite – 2 way airport transfers, Lounge access, 15% discount on hotel service",2,Family,7.7,0,0,0,1,1,0,0,1,0,0
Front seat staff was not very polite rest everything was fine.,approach,location,8.0,January 2023,"January 8, 2023",Standard King Room with Free WiFi,1,Family,7.7,0,0,0,0,0,0,0,0,1,0
Very Good,"Food service was very poor.
Long waits for food in the cafe and in the dining hall for breakfast..",,8.0,January 2023,"January 5, 2023",Standard King Room with Free WiFi,1,Solo traveler,7.7,0,0,0,0,0,1,0,1,0,0
Wonderful,There was nothing to dislike,"Great experience from the beginning. From booking to the departure, everything was smooth and easy. The person who came to pick us up was waiting for us and we went to the hotel. They dropped off bags in the room. The room was great and all the options in the room made sense. Departure was smooth. Overall, very positive experience.",9.0,December 2022,"January 4, 2023",Standard Twin Room with Free WiFi,1,Family,7.7,1,0,0,0,0,0,0,0,0,0
Wished they catered to all their guest and not only those who were there for the convention,Lunch and dinner was limited. They were having a convention at the time I visited and the some restaurants were closed for private functions.,"It was a buffet breakfast with a wide variety of food, fruits and pastries.",7.0,December 2022,"January 4, 2023",Standard Twin Room with Free WiFi,2,Group,7.7,0,0,0,0,0,0,1,1,0,0
Wonderful,,"Food, cleanliness",9.0,January 2023,"January 3, 2023",Standard King Room with Free WiFi,1,Family,7.7,1,0,0,0,0,0,1,0,0,0
good place to stay,,staff was friendly polite and helpful,9.0,December 2022,"December 31, 2022",Standard King Room with Free WiFi,1,Family,7.7,0,0,0,0,1,0,0,0,0,0
Wonderful,Waiting time for checkin,Pickup drop and nice stay and helpful staff,9.0,December 2022,"December 31, 2022",Standard King Room with Free WiFi,1,Family,7.7,0,0,0,0,1,0,0,0,0,0
clean and comfortable- value for money.,Room service takes too long to service any request.,"Clean room, friendly staff",8.0,December 2022,"December 30, 2022",Standard King Room with Free WiFi,1,Family,7.7,1,1,0,0,1,1,0,1,0,0
Wonderful,,Excellent breakfast and facilities.,9.0,December 2022,"December 25, 2022",Standard King Room with Free WiFi,1,Family,7.7,0,0,1,0,0,0,1,0,0,0
very comfortable and relaxing stay,,very clean and excellent breakfast. very helpful and friendly staff,9.0,December 2022,"December 19, 2022",Standard King Room with Free WiFi,1,Couple,7.7,1,0,0,0,1,0,1,0,0,0
The perfect Mojitos and a cozy bed to sleep in after or before a long flight.,The pitcher of Mojitos were surprisingly delicious and perfectly made.,Great place to get some sleep before catching a flight out of Delhi.,8.0,December 2022,"December 18, 2022",Standard King Room with Free WiFi,1,Couple,7.7,0,0,0,0,0,0,0,0,0,0
comfortable and reasonable price,location,Close to airport,8.0,December 2022,"December 9, 2022",Standard King Room with Free WiFi,1,Couple,7.7,0,0,0,0,0,0,0,0,0,1
Wonderful,,"location , staff, cleanliness, buffet, sports bar",9.0,November 2022,"December 5, 2022",Standard King Room with Free WiFi,1,Solo traveler,7.7,1,0,1,0,1,0,1,0,1,0
Great overnight hotel,Price of meals were higher end.,Close to airport.  Reprieve from hustle and bustle of hotel further away from airport.,9.0,November 2022,"November 24, 2022",Standard King Room with Free WiFi,1,Couple,7.7,0,0,0,0,0,0,0,0,0,0
Wonderful,Lighting could be more in the room,Pet friendly policy,9.0,November 2022,"November 18, 2022",Standard King Room with Free WiFi,1,Couple,7.7,0,1,0,0,1,0,0,0,0,0
Wonderful,Nothing,Breakfast layout was exceptional 👌,9.0,November 2022,"November 13, 2022",Standard King Room with Free WiFi,1,Family,7.7,0,0,0,0,0,0,1,0,0,0
my stay was comfortable.,average in room services and the staff.,great food and beverage services.,9.0,November 2022,"November 8, 2022",Standard King Room with Free WiFi,2,Family,7.7,0,1,0,0,1,1,1,1,0,0
Wonderful,cant really think of any now,"Alaways stay here if i am in Delhi, nice and clean and quick to the airport",9.0,September 2022,"November 8, 2022",Standard King Room with Free WiFi,1,Group,7.7,1,0,0,0,0,0,0,0,0,0
Wonderful,,"location, staff & facilities",9.0,October 2022,"November 2, 2022",Standard King Room with Free WiFi,1,Family,7.7,0,0,1,0,1,0,0,0,1,0
"Loved the signature Novotel experience which is across all its hotels in India. Perfect stay for work trip, close to air","Nothing in particular, that would disappoint me, and perfect for work trip. I wish I got an room upgrade like it happened in Kolkata, as it was a 3 day stay..",well pretty much “the signature Novotel experience”. Everything was up to mark. Extremely impressed with Ritanshu from Concierge Team for arranging a drop for the golf shoes I left at the lobby with one of Acquantaince within Delhi. He followed up till late night till it was delivered. Very impressed. Would also compliment the restaurant / Breakfast Buffet team for excellent people mgmt.,9.0,October 2022,"November 2, 2022",Standard Twin Room with Free WiFi,3,Solo traveler,7.7,0,1,1,0,0,0,1,0,0,0
Very Good,,"clean, well kept, amazing staff. good value for money and comfortable stay. convenient location - near to airport",8.0,November 2022,"November 1, 2022",Standard Twin Room with Free WiFi,1,Group,7.7,1,0,0,0,1,0,0,0,1,0
Wonderful,,great property and very near to the airport,9.0,October 2022,"October 30, 2022",Standard King Room with Free WiFi,1,Solo traveler,7.7,0,0,0,0,0,0,0,0,0,0
"fantastic stay, food abd pool",nothing,"great food, great service!!",9.0,October 2022,"October 29, 2022",Standard King Room with Free WiFi,2,Couple,7.7,0,0,0,0,1,0,1,0,0,0
phenomenal,"clean and tidy rooms, very good restaurants, play area for kids, above all your humble and ever helpful staff especially front office, big thank you to your front office manager for everything that he did.",excellent property,8.0,October 2022,"October 29, 2022",Standard Twin Room with Free WiFi,1,Family,7.7,0,1,0,0,0,1,0,1,0,0
Best place,,"Quality of room is good, Breakfast there is many varieties",9.0,October 2022,"October 28, 2022",Standard King Room with Free WiFi,1,Family,7.7,1,0,0,0,0,0,1,0,0,0
Wonderful,"A little far from main Delhi areas.
Food menu a little expensive but food was good","Good location for airport.
Lively atmosphere and comfortable stay",9.0,October 2022,"October 28, 2022",Standard King Room with Free WiFi,4,Family,7.7,0,0,0,0,0,0,0,1,1,0
