Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
"Doesn't feel like budget, it's great.",The hairdryer in my room didn't work but that is literally the only issue I had.,"Staff super friendly, hotel was clean and welcoming. Rooms were great size and fully equipped. Cooler worked in room, window opened, two extra pillows provided on request. No complaints at all.",8.0,May 2024,"May 28, 2024",Small Double Room,2,Couple,7.7,1,1,0,0,1,0,0,0,0,0
Lovely hotel,"The only thing that was missing is a small table for things, like phone, wallet etc.
There is something at bed side, but way too small and there was a weird thing that suppose to be a chair I guess, but only if you go fishing, not suited for a hotel room.","Close to the train station and located on a main street that will take you straight into the central area.
Lovely reception and bar, also noticed that there is a gym as well and lot of nice seating areas.
Is clean and well maintained.
Good sounds proofing.",9.0,May 2024,"May 27, 2024",Small Double Room,1,Solo traveler,7.7,1,1,1,0,0,0,0,0,1,0
Wonderful,Should they clean more often and add a mini fridge to the rooms it could easily be a 4 star hotel!,"Clean, central location, great gym, staff were super friendly and nice!",9.0,May 2024,"May 22, 2024",Small Double Room,5,Family,7.7,1,1,1,0,1,0,0,0,1,0
Good value and good location,"We would have like a chair, but room was too small",Breakfast was generous and varied. Very good,8.0,May 2024,"May 14, 2024",Small Double Room,3,Couple,7.7,0,1,0,0,0,0,1,0,0,0
"Great stay, fantastic location. Could do with a few more staff on the reception and bar when busy.","Long queues when I was leaving
No orange juice
No machine coffee (eg espresso, cappuccino)","Location, level of cleanliness, breakfast",8.0,May 2024,"May 14, 2024",Small Double Room,1,Solo traveler,7.7,1,0,0,0,0,0,1,0,1,0
cheers,"the room was very good and clean, but is small","the breakfast was exeptional, the bicycle we rented at the hotel were maintained, of high quality and helmets were supplied",9.0,May 2024,"May 13, 2024",Standard Twin Room,4,Family,7.7,0,1,0,0,0,0,1,0,0,0
Nothing to complain about besides the one pillow provided that was so soft. We have to fold it to make us comfortable. R,None,Close to everything,9.0,May 2024,"May 12, 2024",Standard Twin Room,4,Couple,7.7,0,0,0,0,0,0,0,0,0,0
Great value for money.,All was good,Great location and nice rooms. Good breakfast. Nice bar area.,8.0,April 2024,"May 3, 2024",Standard Double Room,3,Couple,7.7,1,0,1,0,0,0,1,0,1,0
Very good experience,,Fantastic breakfast,9.0,May 2024,"May 2, 2024",Standard Double Room,2,Family,7.7,0,0,0,0,0,0,1,0,0,0
The staff were very nice and the breakfast was perfect.,The bathrooms needs some renovation,It is comfortable and nice invetories. The breakfast was super.,8.0,April 2024,"April 30, 2024",Small Double Room,1,Family,7.7,0,1,0,0,0,0,1,0,0,0
A lovely environment to explore Copenhagen,No kettles in the room.,Great location and well designed rooms and excellent breakfast.  Staff were very friendly and d efficient,9.0,April 2024,"April 17, 2024",Standard Twin Room,2,Family,7.7,1,1,0,0,1,0,1,0,1,0
Very Good,,"Easy to access from station 
And many stores near the hotel",8.0,April 2024,"April 13, 2024",Superior Double Room,2,Couple,7.7,0,0,0,0,0,0,0,0,0,0
"Good option to stay at, while in Copenhagen",We stayed on the 4th floor and could hear the people in the rooms upstairs walking around.,"We were very presently surprised by the quality of this 3 star hotel. 
The hotel is very well located and comfortable. The rooms were clean and big. 
Breakfast was excellent with a big variety.",8.0,April 2024,"April 6, 2024",Standard Double Room,2,Group,7.7,1,1,0,0,0,0,1,0,0,0
Great affordable hotel in a central location,Frequency of room clean,The location is perfect for first-time visitors of Copenhagen. The interiors are nice and modern. The staff are very friendly.,8.0,April 2024,"April 6, 2024",Small Double Room,3,Group,7.7,0,1,0,0,1,0,0,0,1,0
"Overall everything was fine, you could not expect more from a three star hotel.",TV could have had channels in English.,"Location, atmosphere, breakfast.",9.0,April 2024,"April 6, 2024",Small Double Room,3,Family,7.7,0,0,0,0,0,0,1,0,1,0
Overall a fantastic stay. I would recommend this property. Excellent value for what you pay.,"The room was very warm and we couldn’t control the temperature. The hotel only cleans rooms every 4 days. We were there 3. It’s easy to get towels from the front desk, but then they remain in the room. There is only two rolls of toilet paper so you also have to ask for more.",The property is nice. Location is good. A short walk to the metro. Staff were fantastic. Breakfast was impressive. We were really happy with the selection.,9.0,April 2024,"April 5, 2024",Standard Twin Room,3,Group,7.7,0,1,0,1,1,0,1,0,1,0
Wonderful,,The breakfast buffet was fantastic and also the hotel had very good location.,9.0,January 2024,"April 5, 2024",Small Double Room,3,Group,7.7,0,0,0,0,0,0,1,0,1,0
Good,"Shower could have been warmer, shower doors wouldn’t stay closed.",Bar area. Big beds. Table tennis table. Wifi very good. Great location.,7.0,March 2024,"April 3, 2024",Standard Double Room,5,Couple,7.7,1,1,1,0,0,0,0,0,1,0
"To the staff thank you for being so friendly, lovely place",N/a,Good value for money you get what you pay for. Breakfast was decent a wide  selection of different foods to choose from. Rooms were clean and decent really friendly staff at the desk supportive giving us good advice and things to go see while in Copenhagen location is soo good as well near everything and easy access to buses,9.0,March 2024,"March 31, 2024",Small Double Room,3,Couple,7.7,1,0,0,0,1,0,1,0,1,0
Nice hotel to discover Copenhagen,Small bedroom but it was ok for us,Very clean and central,9.0,March 2024,"March 28, 2024",Small Double Room,3,Group,7.7,1,1,0,0,0,0,0,0,1,0
"Overall experience was great!value for money,great location,excellent staff and delicious breakfast",The bathroom would be good to have a refurbishment. Also the cleaning room service could be more often and not every 4 days,It was modern and had all the facilities you would looking for.also had great breakfast.,8.0,March 2024,"March 24, 2024",Small Double Room,4,Couple,7.7,0,1,1,0,0,1,1,1,0,0
Wonderful,,"Location, interior design, staff.",9.0,March 2024,"March 21, 2024",Standard Double Room,1,Solo traveler,7.7,0,0,0,0,1,0,0,0,1,0
Peaceful and welcoming,Nothing,"staff very helpful,  excellent location and the breakfast was very nice .",8.0,March 2024,"March 3, 2024",Standard Double Room,1,Solo traveler,7.7,0,0,0,0,1,0,1,0,1,0
Wonderful,Nothing as such,Breakfast was wholesome and the location was perfect,9.0,February 2024,"March 3, 2024",Standard Double Room,1,Solo traveler,7.7,0,0,0,0,0,0,1,0,1,0
Good location and Good Breakfast.,The sink had no hot water. The shower water was no thot enough just warm.,"Very good location. Walking distance to the central train station. Very good choice of breakfast unlike in many hotels where it is just basic continental, there was a good selection.",8.0,February 2024,"February 27, 2024",Standard Triple Room,2,Family,7.7,0,1,0,0,0,0,1,0,1,0
Good place to stay,The fact there was no receptionist to check out with. Waited over an hour for someone to make an appearance and that never happened. No one answered the phone and we looked everywhere for the staff to no avail. It was scary that there was no staff on premises.,Loved the room. It was nice and comfortable.,9.0,February 2024,"February 23, 2024",Standard Double Room,3,Solo traveler,7.7,1,0,0,0,0,1,0,0,0,0
Wonderful,"Walls were a bit thin, maybe a lil more sound proofing","The breakfast was amazing! 
Friendly staff and great location. 
Walls were a bit thin but it was okay.",9.0,February 2024,"February 22, 2024",Standard Double Room,3,Couple,7.7,0,0,0,0,1,0,1,0,1,0
Great stay for a weekend in Copenhagen!,The only thing we lacked was a wardrobe or a cupboard for our clothes.,"The location is fantastic, just next to the train station. The hotel was nice and comfy.",9.0,February 2024,"February 20, 2024",Small Double Room,3,Couple,7.7,0,0,0,0,0,0,0,0,1,0
Good,Bed size and mattress,"Location, breakfast",7.0,February 2024,"February 13, 2024",Small Double Room,2,Couple,7.7,0,1,0,0,0,0,1,0,1,0
My stay was excellent,,"I liked the table tennis and the football table that was there. Also liked the room l, had a lovely view.",8.0,January 2024,"February 6, 2024",Standard Double Room,4,Couple,7.7,1,0,0,0,0,0,0,0,1,0
Excellent,Bed was a little bit too soft for us but overall everything was great,"Location of hotel was very good, everything in walking distance. Breakfast was well supplied and had a lot to offer.",9.0,February 2024,"February 4, 2024",Small Double Room,3,Couple,7.7,0,1,0,0,0,0,1,0,1,0
Wonderful,,Amazing Breakfast,9.0,January 2024,"January 28, 2024",Small Double Room,1,Group,7.7,0,0,0,0,0,0,1,0,0,0
Good,"The music in the evening was to loud, we heard it even in our room",,7.0,January 2024,"January 28, 2024",Small Double Room,4,Group,7.7,0,1,0,0,0,0,0,0,0,0
Wonderful,Rooms don't have a fridge and that might be a problem for someone,"It's the second time I was staying at Comroft Hotel Vesterbro and I will stay there again, because the location is great, the price is reasonable and the room itself is comfortable and looking great",9.0,January 2024,"January 26, 2024",Standard Double Room,1,Solo traveler,7.7,1,1,0,0,0,0,0,0,1,0
Wonderful,Potrivit lighting în room.,"Location, 
Breakfast very good.
Friendly staff.
Coffe free.
Safety measure.",9.0,January 2024,"January 26, 2024",Small Double Room,3,Group,7.7,0,1,0,0,1,0,1,0,1,0
Very Good,"Lack of space for personal things. In my room there was just a desk and bed, no wardrobe - nor place to put clothes...","Great cosy hotel - big, but comfortable. Rooms very good, lack of closets/shelfs bit annoying. Great mindset of the staff - barception great idea, great breakfast - it was really a pleasure to be there and explore CPH.",8.0,January 2024,"January 23, 2024",Small Double Room,4,Couple,7.7,1,1,1,1,1,0,1,0,0,0
"Great stay, see you again next time!","TV was old, couldn’t connect laptop, also room service wasn’t done in 3 nights, but it wasn’t a big problem. Breakfast was a bit meh, not a lot of choises for veggies - 6/10.","Very good location, renovated room, very comfortable bed, cozy and warm, shop down the stairs, staff helpfull, huge terrace for smokers! By the way tap water is drinkable and the WiFi is really great.",8.0,January 2024,"January 19, 2024",Small Double Room,3,Couple,7.7,1,1,1,0,1,1,1,1,1,0
An hotel to take in consideration for a visit to Copenaghen.,,"Ideal position to visit city centre, about 10 minutes'walk far from Copenaghen main station, around 15 min from Tivoli.
Nearby many restaurants.
Great service:when you need something you can go at the reception, open 24 hours, and you find always someone.
Nice bar inside the hotel for a coffe, a beer, a sandwich.
Last day we had breakfast at 6.45 and we found everything as the other days when we had it around 9.30.",9.0,January 2024,"January 19, 2024",Standard Double Room,3,Couple,7.7,0,0,1,0,1,0,1,0,0,0
"Superb location, comfortable bed, very nice breakfast, quiet and clean room.",Nothing,,9.0,January 2024,"January 16, 2024",Standard Twin Room,3,Solo traveler,7.7,0,0,0,0,0,0,0,0,0,0
Nice place to stay with great breakfast,,Good location with shops nearby; easy and quick check-in; fresh and delicious breakfast; comfortable and clean room.,8.0,January 2024,"January 16, 2024",Standard Twin Room,1,Family,7.7,1,0,0,0,0,0,1,0,1,0
Super ! I’d like to come back for the next travel,Smell of the bed cover,Best breakfast,9.0,January 2024,"January 15, 2024",Standard Twin Room,3,Group,7.7,0,1,0,0,0,0,1,0,0,0
"Overall good, will stay again in the future",Our room was right next to the corridor entrance door and we could hear the door banging the whole time but not a big deal,"Amazing breakfast!! I was very surprised, loved everything served plus the staff were so kind",9.0,January 2024,"January 7, 2024",Standard Double Room,3,Couple,7.7,0,1,0,0,1,0,1,0,0,0
Great location at the right price.,"Inner rooms don't have almost any natural light or any view. It can be a bit noisy in the late evening (music, people talking and laughing).","Great location, with nice and helpful staff. Amazing breakfast!",7.0,December 2023,"January 5, 2024",Small Double Room,4,Couple,7.7,0,1,0,0,1,0,1,0,1,1
Very Good,,"The position of the hotel is in the city centre and near the metro and all main attractions (Tivoli, Shops, Restaurants)",8.0,January 2024,"January 4, 2024",Standard Double Room,2,Couple,7.7,0,0,0,0,0,0,1,0,1,0
Clean affordable stay in central location.,Breakfast was not affordable.,The bedrooms are very comfortable and the price was affordable. Walking distance to main attractions.,9.0,December 2023,"December 30, 2023",Small Double Room,4,Couple,7.7,1,0,0,0,0,0,0,1,1,0
Very Good,I missed maybe one chair from the room (it was just only the bed and the bathroom).,"The breakfast was amazing!!
The design of the hotel was very nice, it is a cool hotel for a good price.
Good location, easy to find.",8.0,December 2023,"December 23, 2023",Small Double Room,2,Couple,7.7,0,1,0,0,0,0,1,0,1,0
"Convenient, clean and great breakfast","Lack of bathmat in both rooms combined with gap under shower screens in both rooms, and limited towels",Location and breakfast,9.0,December 2023,"December 11, 2023",Small Double Room,2,Group,7.7,0,1,0,1,0,0,1,0,1,0
Great value with breakfast others are general as budget hotel.,"Limit amount of receptionist. They also service for bar thus, guest assistance should be wait for a while.",Breakfast was fabulous. The money was pay for it.,8.0,October 2023,"December 5, 2023",Standard Triple Room,2,Family,7.7,0,0,0,0,0,1,1,0,0,0
Value for money. Alt fungerede.,,Venligt personale. Value for money.,8.0,November 2023,"November 30, 2023",Standard Double Room,1,Couple,7.7,0,0,0,0,0,0,0,0,0,0
Overall a very pleasant stay,Noise from atrium,Good sized rooms with very comfortable bed,8.0,November 2023,"November 28, 2023",Standard Double Room,3,Couple,7.7,1,0,0,1,0,0,0,0,0,0
"Not sure why this place has bad ratings, it was amazing all round!",I liked everything,"Great location, great breakfast",8.0,November 2023,"November 26, 2023",Standard Twin Room,5,Solo traveler,7.7,0,0,0,0,0,0,1,0,1,0
Wonderful,,Nice atmosphere in the hotel. Very good breakfast!,9.0,November 2023,"November 20, 2023",Small Double Room,1,Solo traveler,7.7,0,0,0,0,0,0,1,0,0,0
Wonderful,Beds pushed together not a double bed. Long walk to the room,"Excellent breakfast, spacious room. Friendly, helpful staff. Welcoming foyer area",9.0,November 2023,"November 12, 2023",Small Double Room,2,Couple,7.7,1,1,1,0,1,0,1,0,0,0
As we'd have wanted it. Good value compared to alternatives and well located.,,"The room wasn't enormous but was fine and the bed comfortable. Breakfast was comprehensive. It's not far to walk into town, or the bus runs along the road too. It's worth noting that there's a Lidl supermarket virtually next door, which is handy, and a sandwich shop that sells excellent sandwiches. We had a nice walk in the sunshine along the lake that's a block north too. The foyer area is one that we felt we could sit in and chill and there are drinks/snacks available there too.",9.0,November 2023,"November 5, 2023",Standard Double Room,1,Couple,7.7,1,0,0,0,0,0,1,0,1,0
Wonderful,The weather!! (Joke),Great value. Great breakfast. Great light evening meal.,9.0,October 2023,"November 4, 2023",Standard Double Room,2,Couple,7.7,0,0,0,0,0,0,1,0,0,0
Fine,"I am not a very active hotel guest. I didn't see every nook and cranny. I have no dislikes. Of course it wasn't superluxury, but I really did not want that.","The size of the room, breakfast (was quite fine, location splendid. Booking budget hotels on booking.com can be a bit of unpredictable in relation to quality, but this was a hit.",9.0,November 2023,"November 3, 2023",Small Double Room,2,Solo traveler,7.7,1,0,0,0,0,0,1,0,1,0
Wonderful,,good breakfast,9.0,October 2023,"October 25, 2023",Small Double Room,3,Couple,7.7,0,0,0,0,0,0,1,0,0,0
Wonderful,,The beeakfast was amazing,9.0,September 2023,"October 23, 2023",Superior Double Room,1,Couple,7.7,0,0,0,0,0,0,0,0,0,0
Very Good,"Room was far too hot and no ventilation. WindowI
Opened into a courtyard but no air circulated.",Very enjoyable location. Room was slightly jaded but told it had been upgraded.very comfortable bed and pillows. Slept really well. 😴,8.0,October 2023,"October 20, 2023",Standard Twin Room,2,Group,7.7,1,1,0,0,0,0,0,0,1,0
"Good, may well use again.",,"Had been before. Knew it offered value for money. Recognised rooms to be basic, but they fulfilled the need..",7.0,October 2023,"October 9, 2023",Small Double Room,1,Solo traveler,7.7,1,0,0,0,0,0,0,0,0,0
Overall it met my expectations.,there is no anti-slip method in the bad. It is really dangerous for people after a shower to fall down. Hope they will make an improvement soon.,"great location, great safety control (I mean the lift)",7.0,September 2023,"October 7, 2023",Small Double Room,3,Group,7.7,0,1,0,0,0,0,0,0,1,0
Wonderful,,"Breakfast was great, the room was clean",9.0,September 2023,"October 6, 2023",Standard Double Room,3,Couple,7.7,1,0,0,0,0,0,1,0,0,0
"Great stay, everything you’d want.","No obvious toilet on the ground floor, considering they have a bar/breakfast there.","Great location, easy to walk to central station and nearby shops/restaurants. 
Breakfast was very generous with lots of options to select from for all preferences. 
Room was spacious and comfortable.",9.0,October 2023,"October 5, 2023",Small Double Room,1,Couple,7.7,1,0,1,0,0,0,1,1,1,0
Very Good,Nothing in particular.,Convenient location. Good eateries nearby. Overall good experience.,8.0,September 2023,"September 28, 2023",Standard Twin Room,2,Couple,7.7,0,0,0,0,0,0,0,0,1,0
Good,The young staff man  at first refusex to provide alternative room as the one we were given had a broken loud ventilator and only after another staff person Saud this was a recurrent problem he relented. The new room on fifth floor overlooks an inner courtyard where congregate people at night enjoying themselves but at the expense of many sleepers. Half the rooms have a steep bathtub rather than a shower alone.,"Staff brought extra bedding at our request. Breakfast was very good other than the scrambled eggs.
We finally got a quiet corner room with a shower on our second night out of four nights.",7.0,September 2023,"September 27, 2023",Standard Twin Room,2,Couple,7.7,1,1,0,0,1,1,1,0,0,0
Great budget hotel,Because it was a budget hotel the was no room cleaning during our 3 day stay.,We really liked the room and breakfast. We made self checkin. It is in a great location. 5 minutes to central station.,9.0,September 2023,"September 27, 2023",Standard Twin Room,3,Group,7.7,1,1,0,0,0,0,1,0,1,0
Great value for money,The water pressure in the shower was low.,Staff was very friendly and helpful. The breakfast was excellent. The bed was very comfortable. The hotel bar was great.,8.0,September 2023,"September 26, 2023",Standard Double Room,3,Family,7.7,1,1,1,0,1,0,1,0,0,0
Very Good,Wouldn’t have minded having a kettle in the room,"Good location, excellent breakfast",8.0,September 2023,"September 22, 2023",Standard Twin Room,4,Couple,7.7,0,1,0,0,0,0,1,0,1,0
very nice place and good location,could have been some drawers for clothing as well as wardrobes,breakfast was more than expected as i wasnt expecting hot food,8.0,September 2023,"September 22, 2023",Small Double Room,5,Family,7.7,0,0,0,0,0,0,1,0,0,0
A very comfortable night's sleep.,,The hotel is within easy walking distance from Central Station and the Metro. It was easy to walk to Tivoli gardens from the hotel. The staff were friendly and very helpful and there a lots of great restaurants close by to the hotel.,8.0,September 2023,"September 17, 2023",Standard Double Room,2,Couple,7.7,0,0,0,0,1,0,1,0,1,0
Overall an enjoyable stay and I would stay here again when in Copenhagen.,,Very good location and easy to self check-in. Room was clean and comfortable with a bathtub. Breakfast also ticked all the box. Overall an enjoyable stay and I would stay here again when in Copenhagen.,9.0,September 2023,"September 14, 2023",Standard Double Room,2,Solo traveler,7.7,1,0,0,0,0,0,1,0,1,0
Wonderful,Unfortunately the window in our room could not be opened. It's a small problem for me but not the tragedy.,"The location is perfect, only 7 minutes by walk from the Central station. I liked the best the self check-in and check out, it's a super idea. The breakfast is rich and tasty. The hotel's bar is cheaper than the places outside.",9.0,September 2023,"September 12, 2023",Standard Double Room,4,Couple,7.7,0,1,1,0,0,0,1,0,1,0
Wonderful,,A small compact hotel with a very big breakfast 😊,9.0,September 2023,"September 12, 2023",Small Double Room,1,Solo traveler,7.7,0,0,0,0,0,0,1,0,0,0
Great location!,Hair dryer not working. No in room fridge.,Great location and good breakfast buffet.,8.0,September 2023,"September 10, 2023",Small Double Room,3,Couple,7.7,0,1,0,0,0,0,1,0,1,0
"We enjoyed the stay because the hotel is in a great location, it was very comfortable and the breakfasts were excellent.",Wi-Fi was quite weak,Location. Great breakfast.,8.0,September 2023,"September 9, 2023",Standard Twin Room,4,Family,7.7,0,0,0,0,0,0,1,0,1,0
Great hotel and location.,Breakfast is really busy despite needing to book a slot.,"Great location and a super breakfast, vegan and veggie options are limited but available.",9.0,September 2023,"September 7, 2023",Standard Double Room,3,Couple,7.7,0,0,0,0,0,0,1,1,1,0
relaxing & central copenhagen,nothing!,"location 2 mins walk from Central Station; excellent location in centre of copenhagen city
beautiful boutique shops & lovely street scape.
Lovely sandwich bar just down from hotel .",9.0,September 2023,"September 7, 2023",Standard Double Room,3,Solo traveler,7.7,0,0,1,0,0,0,0,0,1,0
great stay,,"modern, friendly, clean hotel with excellent breakfast, nice bar with snacks in reception, great restaurants within 5 minute walk. short walk to central train station and Tivoli, supermarket next door",8.0,July 2023,"September 3, 2023",Standard Double Room,2,Couple,7.7,1,0,1,0,1,0,1,0,1,0
Wonderful,,Great location and easy check in and out,9.0,July 2023,"August 31, 2023",Standard Twin Room,3,Group,7.7,0,0,0,0,0,0,0,0,1,0
Amazing,There was nothing that we didn't like,"Room was perfect, the hotel was very safe with key card access to our floor and room.",9.0,August 2023,"August 29, 2023",Standard Double Room,1,Couple,7.7,1,0,0,0,0,0,0,0,0,0
I enjoyed my stay!,,Location and amenities.,9.0,June 2023,"August 24, 2023",Small Double Room,2,Family,7.7,0,0,0,0,0,0,0,0,1,0
Wonderful,,"Location close to station and city center, breakfast with lot's of choice, very friendly staff, quiet rooms.",9.0,August 2023,"August 24, 2023",Standard Double Room,3,Group,7.7,1,0,0,0,1,0,1,0,1,0
Very good for a budget hotel,None,"Staff were very accomodating.The drain in the shower was very slow,reported it and was immediately fixed.The handyman who came was very nice.",9.0,August 2023,"August 23, 2023",Standard Double Room,1,Couple,7.7,1,0,0,0,1,0,0,0,0,0
Perfect for a well priced budget hotel,No kettle in the room,"Friendly, clean ,good ,location , lovely breakfast",9.0,August 2023,"August 23, 2023",Standard Double Room,2,Couple,7.7,1,1,0,0,1,0,1,0,1,0
