Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
DISAPPOINTING STAY - WILL NOT RETURN!,"The room would have been much more spacious without the kitchen (which was of no interest to us). More significantly, however, was the absence of amenities we have become accustomed to when staying at reasonably nice hotels: there were no water bottles in the fridge, no extra blankets, no housecoats (apparently, we could have asked for all of these - but that is reactive, not proactive!). Worse was the fact that housekeeping hadn't bothered to advise that the clock was an hour off, or that the safe wasn't working (it needed fresh batteries - once they were installed, the safe lit up to show it was active again).","Excellent location. Very attractive lobby. FRONT DESK staff were great - but, as later noted, housekeeping staff really didn't do their job. Bed was comfortable.",4.0,May 2024,"May 22, 2024",Historic Superior Suite,1,Couple,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
Spacious room and kind staff in a great location.,"Room was a little dated and the day I checked in I felt housekeeping was a little lacking - kitchenette could have been cleaner, scant supplies in the bathroom. The clean after Day 2 was much more thorough and lovely including more towels than I had when I checked in, etc.","Really friendly staff, great location, spacious room, had a good night's sleep, comfy bed.
It was so hot in Toronto when I was there and the air conditioning did an amazing job, thankfully!
Cost of hotel rooms have gone up so much - I would have rated this property higher at a lower room rate, this just felt a bit basic for the price point.",7.0,July 2022,"July 22, 2022",Historic Superior Suite,3,Solo traveler,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
Good,"Somewhat dated, especially bathroom and kitchenette. Furniture doors and drawers closed poorly.","Spacious room, great location in downtown, great view overlooking the city and the lake. Comfortable bed. Big tv's in both rooms. Washer and dryer in the suite. Friendly staff.",7.0,July 2023,"July 20, 2023",Tower ONE Suite,5,Family,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
Great location and comfortable stay,The sheets on the bed had a hole in the middle and the plumbing was a little noisy. Could use some updating in the kitchenette area.,"The location was perfect and the staff friendly. The room was nice and large with a deep bathtub. Lobby smelled wonderful.
I will return in the future!",9.0,October 2023,"October 24, 2023",Historic Superior Suite,1,Solo traveler,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
"A bit disappointing based on previous stays, but well-priced and comfortable.","What was disappointing may have been largely due to difficulties caused by COVID. Room had no water other than Toronto tap (not nice). It was advertised as having a kitchenette; this was true, but dishes were few and cutlery, dishes and pots and pans non-existent. Fitness centre was closed. There was a fridge and a corkscrew, thank goodness! Was surprised that a $200 security/damage deposit was insisted upon at check-in; five days later it still hasn't been reversed on our credit card.",Comfortable room with a fine view of City and Lake. Nearby handicapped street parking thanks to Toronto's generous policies toward handicapped persons. Staff made every effort to be friendly and helpful.,7.0,February 2022,"February 5, 2022",Tower Deluxe Suite,1,Group,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
Very Good,Kitchenette could have been supplied with washing up liquid and dishwasher tabs (although the cleaner did eventually give us some washing up liquid); the kitchenette needed a bit of updating as a bit tired looking; a bit more cutlery and plates would have been good too.,"Great location; friendly, helpful staff; good size studio; comfy bed; good on-site cafe; gym, sauna, and jacuzzi were a bonus",8.0,December 2023,"December 12, 2023",Tower Deluxe Suite,5,Couple,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
Very Good,Kitchenette could have been supplied with washing up liquid and dishwasher tabs (although the cleaner did eventually give us some washing up liquid); the kitchenette needed a bit of updating as a bit tired looking; a bit more cutlery and plates would have been good too.,"Great location; friendly, helpful staff; good size studio; comfy bed; good on-site cafe; gym, sauna, and jacuzzi were a bonus",8.0,December 2023,"December 12, 2023",Tower Deluxe Suite,5,Couple,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
Amazing stay at a brilliantly situated and comfortable hotel,"I could hear the sounds from the suite next door to ours, they had their kitchenette near the front of their room hence i suspect why.  Fortunately the occupant was not very loud, but this could have been very annoying.","Superbly clean facility. Beautiful view. Brilliant location in middle of downtown, right next to King station. Remarkably comfortable and large bed for 2. Powerful warm showers (very hot in the mornings). Excellent coffee shop (daily ritual) attached next door...perfect Lattes. Gym, spa and sauna were a wonderful addition and high-end. Staff were helpful, AND they make an sour apple martini at the bar!!!! We would Definitely return.",10.0,September 2023,"September 15, 2023",Tower Premium Suite,8,Couple,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
Good Place,"The Air C was poor, the room was hot all night, parking little expensive.","Excellent location, staff friendly, excellent and luxury installations, fast elevators, suite clean with city view, comfortable bed.",10.0,August 2023,"August 22, 2023",Historic Studio Suite - Interior View,1,Couple,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
"Excellent location, clean, friendly staff. Daily housekeeping is unreliable.","Daily housekeeping did not come every day of our stay there, even though we left the rooms at the same time every day for the same amount of time (most of the afternoons). 
Sometimes the lifts can be a bit of a wait and can be crowded full of guests. 
Side door entrance was closed after certain hours
Could not really tell the differences between the tower vs heritage rooms before booking to make the decision. 
The bathroom is a bit small and outdated","We came in the dead of winter so we really appreciated the direct link to the underground path
Even without the link to the path, it was still an excellent location, right at King station and streetcar access. 
The hotel bar had attentive service
Had a kitchenette and laundry in room!",10.0,January 2023,"March 16, 2023",Tower Deluxe Suite,5,Couple,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
Pleasant and worth it on a discount but wouldn't stay again without,"- Room given to us was unfortunately not the one reserved. Expected to have more of a sitting area/lounge like the images, but was given more of a small square room with a desk and single chair.
- Not great cooking utensils (one pot and one pan that's it)
- A lot of amenities closed due to COVID (understandable and unavoidable)","- Good location, links up to PATH underground walkway (walked straight from Union Station in the winter)
- Friendly and helpful staff
- Nice high ceilings on the rooms",7.0,January 2022,"February 4, 2022",Historic Superior Suite,3,Couple,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Comfortable stay with family.,"The hotel is clean, small minor cleaning improvements could be done. To be honest, the place is very accommodating. If I asked for kitchen utensils etc, I would receive them in a timely manner so really not much to complain about.","The location is great for tourism, its a very busy location though. Room views are wonderful especially on the high floors. There are a lot of wonderful staff at this hotel too. Special mention of Chloe, really hospitable check in experience. Each room/suite has a kitchenette, which is a requirement for us. The larger rooms are often occupied so its worthwhile booking them as early as possible.",8.0,July 2023,"August 2, 2023",Tower ONE Suite,9,Family,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Great location and staff,Cleanliness - We had to change rooms on the second night. The room was on the smaller size for two guests (not enough space for luggage) and had dust on desk and tv area. Our second room was perfectly clean and spacious enough.,"Perfect location
Friendly and helpful staff
Good room size
Comfortable 
Nice views",9.0,May 2022,"June 6, 2022",Tower Deluxe Suite,5,Couple,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Fair,no parking on site for our vehicle. the parking garage they direct you costs $73/night. Sleep quality is poor due to poor blinds in the bedroom which fails to keep sunlight out.,"Central location, Friendly staff, comfortable beds,",5.0,November 2022,"November 8, 2022",Tower Deluxe Suite,1,Couple,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Very Good,"Very loud, getting an elevator in the morning is a nightmare. Our room had a modem or something on the ceiling that was so bright it illuminated the entire room at night. Hotel should consider a piece of black tape or something to cover the light. It made it difficult to sleep.","Nice rooms, view and location. Also valet service was great",8.0,December 2021,"December 26, 2021",Tower Deluxe Suite,1,Couple,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Great location and clean. Make sure you verify hidden costs and parking options before getting there,"They direct to a near by parking if theirs is full, I payed 63 dollars for a stay from 5pm-11am!!
No where on their ratings did it say a daily maximum rate and this even for down town Toronto is extremely expensive.
Their hair blow dryer is ancient and does not work, and yes I pressed in the red button, still nothing.
If you order warm water for the baby’s formula they bring it in a pot and will charge u about 5 dollars !!! I know some hotels do that but they should let you know the cost entailed ahead of time especially when you tell them it’s for a baby’s forums bottle. There was no kittle in the room then they brought one. That should be in the room as you check in, it’s not listed as an available amenity.","Location was excellent, room was clean. Guest services respond promptly and are friendly.",8.0,May 2022,"May 8, 2022",Historic Double Suite,1,Family,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
would stay again,"in a room with a kitchenette there were too few utensils, no wash-up liquid or dishwasher capsules","comfortable bed, great view, helpful staff",8.0,November 2022,"November 12, 2022",Tower Deluxe Suite,4,Couple,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Beautiful presidential suite with lovely views,"I was hoping for a bathtub but got a shower, which was nice though. 
The elevators seemed a bit slow.",Beautiful suite with kitchen area. Fantastic views of downtown Toronto and the lake from the 41st floor. The staff was very nice and the bed was out of this world comfortable. I was worried about noise knowing Toronto but there was (almost) none. I wish I had stayed longer.,7.0,October 2021,"November 1, 2021",Tower Deluxe Suite,1,Solo traveler,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
"good location, nice rooms.",the room was pretty different from the photos on booking.com. the photos made it look like a suite with a separate living room - this wasn’t the case - just one big room with a little kitchenette. elevators were slow which is unavoidable in a busy hotel but just a heads up to leave yourself some extra time.,"room was large & clean, staff were friendly. good location near pubs & places to eat.",8.0,March 2022,"March 23, 2022",Tower Deluxe Suite,1,Couple,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Great hotel located centrally in downtown Toronto.,No water bottles in the room. The kitchen was smaller than I thought it would be based on the room photos (there was supposed to be an eating area).,Great location! Connects directly to the Path and to a metro station. Walking distance to the Union station. Our room had a great view of the tower. Friendly and helpful staff.,8.0,October 2022,"October 12, 2022",Tower Deluxe Suite,2,Family,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Decent stay but I hope there’s better out there for the price.,"The room was disappointing. The finishes were worn — chipped paint, scuffed walls, stained counters, which made the room feel less clean.  The bed was thankfully perfectly clean, but the rest of the cleaning was not up to par — sink not washed out, dusty surfaces, streaks and watermarks on bathroom fixtures. It wasn’t dirty — it just wasn’t as clean as I would hope for the price. Noise was a problem. I was near the elevator and I could hear everything from the hall as people went by. I was woken multiple times by people talking in regular voices outside and in the middle of the night by crashing/banging from the room above. Other guests weren’t being unreasonably noisy — it just wasn’t well insulated. It was a busy time and there was often a significant wait for the elevators.","Location and view were incredible. Perfect home base for exploring Toronto. Service was friendly and punctual. The room had good amenities like the kitchenette, though the drawers, cutlery, etc were less than clean and there was no coffee in the room. Bed was comfortable and clean.",7.0,July 2023,"July 17, 2023",Tower Deluxe Suite,1,Solo traveler,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Great location slightly outdated,"Room was outdated and not very clean.
Historical suites are very noisy..loud and drunk neighbors. 
Lots of dirt under sofa and kitchen cabinets.
They actually leave an almost done toilet paper roll for the next guest...I found that disgusting.","Friendly staff and attentive. Helped resolve an issue I had with the first room.
Excellent location 
Beds are very comfortable",8.0,September 2021,"September 21, 2021",Historic Superior Suite,3,Solo traveler,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Comfortable. We would stay here again,We booked the room because it advertised kitchen facilities. But it had very little to cook with.  We had to ask for frying pan and toaster.  Nothing in the room to tidy up etc.  But great room if you don’t need to use the kitchen facilities,Staff were friendly and helpful. Location was very central and easy to reach.  Room was comfortable and very clean. it was a pleasant stay overall.,8.0,December 2021,"December 30, 2021",Tower Deluxe Suite,2,Couple,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Great historical hotel.,Lighting a bit dim in  bedroom area. Room not as large as some we've stayed in in Northern America/Canada. Lobby area can be loud with music from bar. Lifts can take a long time to arrive during busy times.,"Great location, within walking distance to everything. Staff friendly. Room clean and comfortable with nice views over city.",9.0,April 2022,"April 18, 2022",Tower Deluxe Suite,1,Couple,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Excellent location,"The room was officially a ""suite"" but only with pantry, no extra space for sitting or eating.",The room was amazing at 28th floor with a corner view to the CN tower. Very good location. Very friendly staff. The bed were very comfortable. Amazing was to see the vault of the former Dominion bank in the basement! The access to the hotel is also possible through Toronto's Underground Pedestrian Walkway.,8.0,September 2022,"September 6, 2022",Tower Deluxe Suite,3,Couple,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Great hotel near Union Station,"The room wasn’t soundproofed. I could hear people talking and laughing in the corridor at night and early morning. 
I would have preferred a thicker duvet or perhaps  to have an extra one in the wardrobe, as it was cold at night. It would have been nice to have some kitchen towels and dish washing liquid in the kitchen area.","The location in downtown was excellent, just eight minutes walk from Union Station. The suit was beautiful and comfortable. Everything was impeccably clean. I loved the bathroom with a separate shower and bathtub.
The gentleman who took care of my suitcases  when I checked out was very friendly and helpful. Check out was simple, I just dropped my keys in a box.",9.0,September 2021,"October 4, 2021",Historic Superior Suite,4,Solo traveler,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Decent hotel in good location but misses the mark a bit.,bathroom was a bit on the small side. was also a bit disappointed by the kitchenette. it had a cooking range but no pots or pans to cook with (and nothing to say how to get it either).  It kind of defeated the purpose of having a kitchenette. Room could also have used a kettle.,"location was good. room was a good size and the service staff (bellman, waiters, cleaning staff) were excellent.",7.0,June 2022,"June 6, 2022",Tower Deluxe Suite,2,Couple,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
great location but need to think to logistics of check in process when there is unloading from a car,why is the bathroom right beside bed..? didn’t have any hand soap in the room upon arrival. got $100 parking ticket because there was nowhere to unload bags. not sure how you expect people to check in when there is no where to unload to bring into the hotel without having to drag luggage bags around the city,great location and friendly check in staff. comfortable beds,7.0,April 2022,"April 24, 2022",Historic Studio Suite - Interior View,1,Couple,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Very Good,"The kitchenette with dishwasher and washing machine is nice in principal, but without a sponge, dish-soap, dishwaser soap or washing machine detergent its not very useful. Having some as an offer like shampoo/body soap or being able to buy some in small quantities would be nice. The dishes in the kitchenette were not clean and in general the whole room could have used a more thorough cleanliness check (there were fake eyelashes in the bathroom...)","Great location, friendly staff, nice view from the room, big room, big bed.",8.0,December 2021,"January 2, 2022",Tower Deluxe Suite,5,Solo traveler,8.5,1,1,0,1,1,0,0,0,1,0,0.00034510093113108455
Wonderful,"The photos of the rooms are confusing. It looked like the bedroom was separate from the kitchen, but we were told that it really only looks that way. Also, the room was much smaller than it was presented.",The hotel is really modern and the staff is nice. The view from the room was breathtaking.,9.0,June 2023,"June 26, 2023",Tower Deluxe Suite,3,Couple,8.5,1,1,0,1,1,0,0,0,1,0,0.0003451009311310845
Good views from high floors,"Room was a little dark and a little pricey.

The hotel's entrance to the PATH was not sign posted well enough.  

Building alarm went off in the middle of the night, but the in-room speaker kept us well informed.","Corner window had good views of the CN tower and lake Ontario on the higher floors.  The room's kitchenette surprisingly had a dishwasher.  

The staff were very professional.  The hotel has its own entrance to the PATH making it very accessible.",8.0,March 2023,"April 13, 2023",Tower Deluxe Suite,1,Couple,8.5,1,1,0,1,1,0,0,0,1,0,0.0003451009311310845
Exceptional,It would be better if washing pods were provided. The elevators can be a little busy sometimes. The bed was super comfortable but did have chemical smells from the washing.,"Perfect location, service, bed and a good view from my room.The room is big enough and certainly is  good value for money. There is even a washer/dryer in my room.",10.0,July 2024,"July 16, 2024",Historic Studio Suite,1,Solo traveler,8.5,1,1,0,1,1,0,0,0,1,0,0.0003451009311310845
"Overall, a very enjoyable stay! Would definitely stay here again!","Interior of room a bit older as we stayed in the older building and not the tower. Had a washing machine in the unit, but it had a funky smell, so we didn’t use it. All very minuscule issues. Would definitely stay here again!","Location - steps from Eaton Center downtown, and right across the street from a subway station. Very friendly staff! Had luggage storage, and was able to check in a little earlier at 1pm. Mini fridge kept things cold!",8.0,April 2024,"May 3, 2024",Historic Double Suite,3,Group,8.5,1,1,0,1,1,0,0,0,1,0,0.0003451009311310845
Good and comfortable staying,"During the weekend it seems like there was a party inside one of the hotel rooms. Very loud music and talking noise, and it seems that nobody was going to do something against it. Very uncomfortable.","Location of the hotel was really good. Desk staff was friendly enough to help, but not really excited to do extra like good morning or good evening wishes, though the luggage carriers were really friendly. The hotel room was clean and comfortable.",8.0,April 2023,"May 11, 2023",Historic Double Suite,4,Group,8.5,1,1,0,1,1,0,0,0,1,0,0.0003451009311310845
"Good value, dated hotel, nice staff, bed could be comfier","Hotel is dated. In the room, there are no master switches or ones that turn on multiple lights - you need to walk to each light fixture and manually turn it on. Bedsheets were a little rough and less comfortable.",Excellent staff who upgraded our room during the 1-night stay unprompted. Good value for a downtown core location,6.0,February 2022,"March 2, 2022",Tower Deluxe Suite,1,Couple,8.5,1,1,0,0,1,0,0,0,1,0,0.00033924370866843907
Pleasant,"Room had issues with a leak on 3 consecutive days. We was told it was OK after 2nd day but came back to a room smelling of damp as carpet was soaking wet in one area. Was offered to move to another room of same standard on 3rd day but as we was due to leave after another night felt it wasn't worth it. Room was not hoovered when we was there and there was levels of dust you wouldn't expect. Dirty Cups and glasses were taken from the Room but never replaced. We had to constantly ask for new ones as well as teabags,milk, bottled water.",Excellent location. Staff (think he was called David) on concierge desk was very helpful. In general the staff we met were very polite and welcoming. Nice comfortable bed.,6.0,June 2023,"June 7, 2023",Tower Deluxe Suite,6,Couple,8.5,1,1,0,0,1,0,0,0,1,0,0.00033924370866843907
"Great location, average rooms","Layout was sloppy and room construction was slapdash (wires running everywhere)

Bathroom was below average","The location
The staff 
Room size",6.0,June 2022,"June 13, 2022",Historic Superior Suite - Interior View,2,Couple,8.5,1,1,0,0,1,0,0,0,1,0,0.00033924370866843907
"Overall, good but not that worthy.","the air conditioner is so noisy (heat mode), can’t even sleep at nights","good location, which makes me have a good view; clean stuffs; services are great.",6.0,April 2022,"April 5, 2022",Tower Deluxe Suite,3,Couple,8.5,1,1,0,0,1,0,0,0,1,0,0.00033924370866843907
Very Good,Room 725 had hardly any natural light coming in and was so dark. The place is so big with a mix of long term and short term guests that it felt quite impersonal.,Nice big rooms with kitchen unit etc. The first room (internal view) had hardly any daylight so for the 2nd night they switched me to a room with an outward facing window which was appreciated. Very clean and the staff were very pleasant and helpful.,8.0,January 2022,"January 5, 2022",Historic Studio Suite,2,Solo traveler,8.5,1,1,0,0,1,0,0,0,1,0,0.00033924370866843907
Pleasant,"Furniture needed some restoration
Safe too low could only access by crawling on floor","Location
Very comfortable beds
Some room problems but the staff sorted very quickly",6.0,September 2023,"September 21, 2023",Historic Studio Suite,3,Couple,8.5,1,1,0,0,1,0,0,0,1,0,0.00033924370866843907
Wonderful,"The door would need a little upgrade. At night, light was clearly coming from all around it and it was pretty annoying. We were guaranteed an upgrade that we didn't obtain but I never took it up to the reception desk as I was ok with the room we were attributed anyway.",The location was perfect for shopping and getting around. Staff was very attentive and the automated SMS messages were of great pertinence. The bedding was great.,9.0,November 2021,"November 8, 2021",Tower Deluxe Suite,3,Couple,8.5,1,1,0,0,1,0,0,0,1,0,0.00033924370866843907
Very Good,The bathroom was a bit old.,"The room had a great view and was very large. Great location, very friendly staff.",8.0,January 2022,"January 30, 2022",Tower Deluxe Suite,1,Couple,8.5,1,1,0,0,1,0,0,0,1,0,0.00033924370866843907
fabulous would stay again,"we ordered a double room thinking that the two beds were king size, but we should have ordered a queen size room","great location, extremely clean and friendly staff",10.0,July 2022,"July 29, 2022",Historic Double Suite,1,Family,8.5,1,1,0,0,1,0,0,0,1,0,0.00033924370866843907
great and comfortable stay,My only issue was with the air conditioner/heater. We were trying to set it to heat at a certain degree however it kept defaulting to cool air.,"Staff were friendly, very clean, nice scenery, good location. What is advertised in photos is correct! Will be visiting again!",8.0,November 2021,"November 24, 2021",Historic Double Suite,1,Group,8.5,1,1,0,0,1,0,0,0,1,0,0.00033924370866843907
Good for an overnight stay. Good value for the money in the heart of Downtown Toronto.,The room was a little dated and the sitting room furniture was soiled and had seen better days.,"Very good location, very large room. Staff was very friendly.",8.0,February 2023,"February 18, 2023",Historic Superior Suite - Interior View,1,Couple,8.5,1,1,0,0,1,0,0,0,1,0,0.000339243708668439
"Great location, lovely staff","The room decor was starting to look a little dated, but still clean and comfortable","Great service and location, clean rooms and characterful historic buiksin",8.0,July 2023,"July 12, 2023",Tower Deluxe Suite,2,Couple,8.5,1,1,0,0,1,0,0,0,1,0,0.000339243708668439
"very good, can’t complain",double bed was a little small for two and the over sized pillows were uncomfortable,"great location, helpful staff, very clean, stylish room",8.0,August 2022,"September 2, 2022",Historic Double Suite,1,Family,8.5,1,1,0,0,1,0,0,0,1,0,0.000339243708668439
Would recommend,"Only thing we noticed after check-in, that we (my partner and i) started itching and it looks like bed bugs. Which is weird, because we were supposed to have hypoallergenic bedding..","Great location, comfy beds and kind staff. Was nice that we could leave the luggage a few more hours after checkout.",9.0,August 2022,"August 11, 2022",Historic Studio Suite - Interior View,1,Couple,8.5,1,1,0,0,1,0,0,0,1,0,0.000339243708668439
Loved it!!,"Delay in allocating room and not coming back to us after several emails with regard to price discrepancy,","The staff were great.
2nd room had a view of the lake which was lovely.",8.0,May 2023,"June 22, 2023",Tower Deluxe Suite,2,Couple,8.5,1,1,0,0,1,0,0,0,1,0,0.000339243708668439
Wonderful,"Weirdly we had terrible cell reception while in our room, but that was likely more an international coverage issue, not hotel related.  Nothing else was a negative during our stay.","The hotel lived up to the reviews we read before selecting it for our stay. Staff were friendly and helpful. We arrived an hour early and they were able to check us in and even honored our special request for a room on a high floor. Our room on the 39th had a beautiful water view, was very clean and modern. It was centrally located to all the areas we wanted to visit. Entrance to The Path via the hotel and right across the street as well. We would absolutely stay again!",9.0,July 2022,"July 20, 2022",Tower Deluxe Suite,2,Family,8.5,1,1,0,0,1,0,0,0,1,0,0.000339243708668439
Very Good,"Historic room looking a bit dated, worn wallpaper, tiles in bathroom a bit stained.","Staff are friendly and helpful, always a smile. Location is perfect, walk to everything and transit right outside the door. Amenities in the room greatly appreciated for convenience, always nice to have good coffee and a refrigerator.",8.0,October 2022,"November 18, 2022",Historic Superior Suite,1,Couple,8.5,1,1,0,0,1,0,0,0,1,0,0.000339243708668439
Very Good,Could have done with a curtain between the bed area and the rest of the suit. And  Blackout blinds in the bedroom,"Cleanliness, location, but most of all the staff. Nothing was a problem for them.",8.0,July 2023,"August 18, 2023",Tower Deluxe Suite,3,Couple,8.5,1,1,0,0,1,0,0,0,1,0,0.000339243708668439
