Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Perfect hotel on a budget!,"Having a kettle in the room would have been nice but given this is more of a budget hotel, I do understand.","The bed in the room was very comfortable and the A/C was great too! Breakfast had a decent selection and gave you a good start to the day. The hotel is quite close to the airport and close to the city centre too. It was a 20 min walk to Mq. De Pombal square and around 35 min to Restauradores. The staff were lovely, kind and very helpful!",8.0,September 2022,"October 1, 2022",Standard Double Room,6,Family,8,1,1,0,0,1,0,1,0,0,0,0.001936453058911651
Convenient spot if you have a car. Clean rooms. Comfort beds.,The hairdryer at the room was not working and the bathroom door not closing properly.,"Very comfort bed despite small size of room.
Kind staff-service around the clock. 
Decent breakfast.",8.0,April 2022,"April 28, 2022",Standard Double Room,3,Couple,8,1,1,0,0,1,0,1,0,0,0,0.001936453058911651
Very Good,The window in my room was closed 'for safety reasons'. In the bar they didn't have many things from the menu - only pizza and soup were avaliable.,"Comfortable, clean room. Excellent breakfast!  Super kind staff!",8.0,July 2022,"August 20, 2022",Standard Double Room,5,Solo traveler,8,1,1,0,0,1,0,1,0,0,0,0.001936453058911651
Very Good,"It would be better to have blinds on the window. Landing airplanes are a little bit loud, but it's ok with the window closed, and they don't fly at night. The rooms are quite old, but clean and tidy.","The bed was extremely comfy, we slept very well. The breakfast was fantastic - huge selection of everything you may want. And in addition, they are pet friendly.",8.0,September 2022,"October 5, 2022",Standard Double Room,1,Couple,8,1,1,0,0,1,0,1,0,0,0,0.001936453058911651
The room could be better,"Lobby and common area looks good but the furniture in the room was old, a bit gloomy.",Not too far from metro station. Room was clean. Breakfast was ok. Staff was helpful,7.0,October 2023,"November 10, 2023",Standard Double Room,4,Solo traveler,8,1,1,0,1,1,0,1,0,0,0,0.001899336765289575
Very happy to recommend.,The room was quite small but effective. The on-site parking was a bit confusing but worked out well in the end!,"Cleanliness - excellent 
Staff -  excellent
Breakfast - very good.",8.0,June 2023,"June 10, 2023",Standard Twin Room,3,Couple,8,1,1,0,1,1,0,1,0,0,0,0.0018993367652895747
Wonderful,"impossibility of opening the window (assumed security)  
in our room there was a smell from the closet - wardrobe, we couldn't keep things inside.  
We didn't have hand towels.","A lot of things.
staff friendly 
Clean room
Good breakfast...",9.0,March 2024,"March 24, 2024",Standard Double Room,4,Group,8,1,1,0,1,1,0,1,0,0,0,0.0018993367652895747
Good economic place to sleep,"Located in a district full of super tall hotels, but with little else to see. However, it was just a 5 minutes walk to the metro, and from there you're in town relatively fast. The rooms were functional, but relatively small.","Friendly staff, clean rooms. Lobby & breakfast area looked nice.",7.0,November 2021,"November 10, 2021",Standard Twin Room,3,Group,8,1,1,1,0,1,0,1,0,0,0,0.0018951470104899791
Hotel met my needs and i would recommend it. No major issues,No tea/coffee machine in room. No safety deposit box in room.,"Bed was comfy, bar and evening meals were very nice. Breakfast was adequate. Vending machine in lobby area was a great idea but it was a shame no water was sold from it. Bus stop nearby was very useful and reception staff were fantastic.",8.0,September 2023,"September 28, 2023",Standard Double Room,3,Couple,8,1,1,1,0,1,0,1,0,0,0,0.001895147010489979
"Excellent breakfast and staff, close to airport","Although the windows were thick, we heard every plane take off and landing, which was quite often. Sadly, the room didn't have a refridgerator and the water in bathroom wasn't that cold, so we had to buy new cold water every day.","Breakfast was excellent, staff was very kind and approachable. Bathroom was spacious and we got clean towels every day.",7.0,August 2022,"August 16, 2022",Standard Double Room,4,Couple,8,1,1,1,0,1,0,1,0,0,0,0.001895147010489979
great stay,no bin in the room,"clean, good location, good for the money and nice staff",8.0,May 2024,"May 9, 2024",Standard Double Room,3,Couple,8,1,1,0,0,1,0,0,0,1,0,0.0018861219183981914
Would definitely stay again,Would have liked extra pillows for bed,"Location was good , facilitates really good hotel very clean . Staff friendly and helpful.",8.0,October 2022,"October 26, 2022",Standard Double Room,3,Couple,8,1,1,0,0,1,0,0,0,1,0,0.0018861219183981914
Definitely coming back,I hope there is a small fridge in the room,"The location is at reasonable price, 15 mins car ride to airport so it’s convenient for travellers who has to catch an early flight. The room can suit two ppl with large luggages ^^ TV is new so we enjoyed sone TV time there. The bathroom is large, the room totally exceed my expectation
The staff here were so attentive! The basin in the bathroom seemed stuck so we called the reception to fix it. The housekeeping almost come up at once and they even cleaned the whole bathroom (not only the basin) after fixing it.",9.0,July 2023,"July 28, 2023",Standard Twin Room,3,Group,8,1,1,0,0,1,0,0,0,1,0,0.0018861219183981914
Comfortable hotel but difficult check-in process,"1) The check-in process was a mess. We first were given a room key that did not work. Then, we were given a room key for a room that wasn't ours. Finally, we were given a room key to a completely different room (that ended being the correct room)","1) Friendly staff
2) Comfortable room
3) Good location",7.0,August 2022,"August 13, 2022",Standard Double Room,1,Couple,8,1,1,0,0,1,0,0,0,1,0,0.001886121918398191
"Location, location, location.",Water pressure was lacking. Beds && pillows weren't as comfortable or clean as expected.,The property location was brilliant for our purposes. Very friendly and helpfull staff. The view from our room was very nice.,5.0,July 2024,"July 8, 2024",Standard Twin Room,1,Family,8,1,1,0,0,1,0,0,0,1,0,0.001886121918398191
Definitely our go-to hotel chain around Portugal,"We couldn't open the window and at the reception we were told nothing could be done until the morning (understandable since we were back to the hotel at about 2am) but the AC was also not working so the room got way too warm.
Also, in the elevators it says the restaurant runs 24/7, however when we asked about food options (at about 2am) the only thing available was toast. Again, understandable considering the time, but the info is a bit misleading. We were under the impression we could buy something at the hotel when back from a night out and that wasn't the case. Still, nothing too serious or damaging to the experience.","Amazing price-quality, the cleanliness of the room was great, the size of the room was great, bed was comfortable, staff made us feel welcome. Breakfast is really good for only 9,5€!",8.0,April 2024,"April 8, 2024",Standard Double Room,1,Couple,8,1,1,0,1,1,0,1,1,0,0,0.0018825405941323278
Great space and location with a couple improvements suggested.,The WiFi had connection issues several times and with the window open on the street side it was quite loud (not to mention the planes taking off/landing overhead). The room was also a bit hot too and the only way to cool it down was to open the window. The door seals to the bathroom and exterior were not great for acoustical privacy as you could hear neighbors as well.,"There was parking on the weekends, the staff were incredibly friendly, and the breakfast food was quite good and fresh. The rooms were simple but also good.",9.0,March 2022,"March 28, 2022",Standard Twin Room,2,Family,8,1,1,1,1,1,0,1,0,0,0,0.001880964617084349
Skyscraper airport hotel,"Bad / tasteless food in the snack bar (oven-ready meals only), aircraft noise (hundreds of planes flying over the hotel), too many floors / rooms / guests, no vegetable for breakfast (chopped tomatoes only)","Fast elevators, comfy beds, foreign TV channels, metro station (300 metres from the hotel), friendly staff, decent breakfast, parking garage (7.5 EUR per night)",7.0,April 2022,"May 4, 2022",Standard Double Room,3,Group,8,1,1,1,1,1,0,1,1,0,0,0.001877832795340381
"Overall nice and comfortable stay, close to the metro line.","- Quite loud outside (planes landing at the airport nearby), but you can close the window and use the AC
- No fridge or safe in room
- Neighbourhood not great for walks (mostly hotels and tall buildings)
- Room cards not working from time to time (need to slide the card a few times to open)
- Breakfasts could use some hot meals","+ Very friendly staff
+ Easy check-in/check-out
+ Reasonably close to the metro line
+ 24/7 bar with basic food available
+ Option to store luggage after check-out
+ Clean room, comfortable bed
+ Working AC",7.0,September 2022,"September 29, 2022",Standard Double Room,4,Couple,8,1,1,1,1,1,0,1,1,0,0,0.001877832795340381
Very dirty and expensive. Helpful and nice staff.,"The room was very dirty, full of dust in the floor (specially under the bed). There was a bubblegum in the night desk lamp. 
The hygienic bags' dispenser was empty.
Small room. 
Bad noise isolation. We could hear every sound in that floor. 
Extremely expensive for the facilities offered.",Comfortable bed. Good location. Basic toilet amenities. Helpful staff.,2.0,March 2023,"March 26, 2023",Standard Double Room,2,Couple,8,1,1,0,1,1,0,0,0,1,0,0.001854316956974291
"Amazing, highly recommended","I wish there was a mini fridge in the room as this was essential to have cold water available, Lisbon was 35°C.. so it was awful drinking room temperature water.","The staff were awesome, very friendly and helpful. Hotel is very clean, very comfortable, and great location!",10.0,July 2024,"July 24, 2024",Standard Double Room,5,Couple,8,1,1,0,0,1,0,0,1,1,0,0.0018518536079084103
Overpriced but staff is nice,The room is very old and uncomfortable. The color of the wall was dull and depressed. It was always very cold in there even though we tried to change the temperature throughout our stay. The breakfast could be free of charge considering the price of the room. The walls are thin so we heard everything around. I wouldn't stay here next time definitely.,"The staff was nice, and the location is pretty okay, the view of the city from the window on 14th floor helped a bit to get distracted from the room.",4.0,November 2023,"November 15, 2023",Standard Double Room,6,Couple,8,1,1,0,0,1,0,0,1,1,0,0.0018518536079084103
Great value for a good clean well located hotel.,Would be nice to have hot drink facilities in the room. Shower could be a bit more powerful and fab wasn’t working in the bathroom so was a bit mouldy in the shower.,Great location right near the metro. Rooms clean and what you need. Great view from the 11th floor. Staff friendly and helpful. Bed comfortable. Air conditioning great. Great value for a good clean comfortable hotel.,8.0,March 2023,"March 29, 2023",Standard Double Room,3,Couple,8,1,1,0,1,1,0,0,1,1,0,0.001841441802138849
"Clean, friendly good breakfast but not central.",,Breakfast was great. Staff friendly. Rooms were small but sufficient. Location is not great for sightseeing but public transport is easy and close.,8.0,July 2022,"July 17, 2022",Double Room with Extra Bed,1,Family,8,1,0,0,0,1,0,1,0,1,0,0.001837233009028199
Exceptional,No complaints.,"Friendly helpful staff. Perfect location. Great breakfast. Quiet room. 
The location is a short walk from the Sete Rios station which makes traveling easy.",10.0,June 2023,"June 25, 2023",Standard Double Room - Mobility Access,1,Solo traveler,8,1,0,0,0,1,0,1,0,1,0,0.001837233009028199
Function and comfort at hotel Ibis,We are both very happy with our stay. Great value for the bucks!!! :),"The staff was very friendly and helpful from the first moment of arrival.
Our rooms were cleaned and arranged every day, and though the days were hot, the air conditioning helped a lot to relex during the quiet times. We did not have breakfast, as we were going in town to enjoy the delicacies the city could offer.
The location of the hotel is great too - it is on a metro line, close to a train station, and buses.",9.0,May 2022,"May 31, 2022",Standard Double Room,6,Couple,8,1,0,0,0,1,0,1,0,1,0,0.001837233009028199
Exceptional,,"The location of the hotel is excellent, the staff is really helpful and nice, the rooms are comfortable, the shower is great, and the breakfast is outstanding! The restaurant has great pizzas! There are also recycling bins on the ground floor which is really useful!",10.0,June 2024,"June 28, 2024",Standard Double Room,3,Couple,8,1,0,0,0,1,0,1,0,1,0,0.001837233009028199
Exceptional,,"The hotel was very clean, exceptional service. Good location with three metro stations close by. Many restaurants Cafe and food Court behind the hotel with very reasonable price and supper market within 2 minutes walk behind the hotel.

I travelled from UK for 7 nights stay. The hotel is maintaining uk ibis standard. Which really impressed me.",10.0,June 2023,"June 18, 2023",Standard Double Room,7,Solo traveler,8,1,0,0,0,1,0,1,0,1,0,0.001837233009028199
"A standard hotel, good breakfast.",Nothing out of the ordinary.,"We only stayed one night as we continued on our journey. I rate the hotel as a good standard. The advantage is the proximity to the metro, good access to the center. Room was quiet, bed comfortable, excellent breakfast. The staff was able to help us with invoices for the employer. Among the negatives I would mention a slight smell in the bathroom, but it was nothing particularly bothersome. Overall, I can recommend the stay.",8.0,November 2023,"November 29, 2023",Standard Double Room,1,Group,8,1,0,0,0,1,0,1,0,1,0,0.001837233009028199
Excellent Breakfast,Nothing,"Excellent breakfast, helpful friendly staff, good location, room clean and neat",8.0,June 2022,"June 27, 2022",Standard Double Room,3,Couple,8,1,0,0,0,1,0,1,0,1,0,0.001837233009028199
would recommend as being just as comfortable as more expensive nearby hotels and breakfasts being better,small pillows,"comfortable bed, good location, helpful staff, excellent breakfast",8.0,October 2022,"October 5, 2022",Standard Double Room,1,Couple,8,1,0,0,0,1,0,1,0,1,0,0.001837233009028199
Wonderful,,"Staff was very friendly, hotel clean, breakfast everything good and fresh. The hotel is close to train stations, metro stations from which you are 10 min away from center of the city.",9.0,May 2024,"May 3, 2024",Standard Double Room,5,Couple,8,1,0,0,0,1,0,1,0,1,0,0.001837233009028199
Great Portuguese breakfast!,,"The room was fine and very clean.
The breakfast was very good.
The staff was very nice and helpful.
For the short stay and it's closeness to the bus terminal made it a great location!",8.0,August 2022,"August 16, 2022",Standard Double Room,1,Family,8,1,0,0,0,1,0,1,0,1,0,0.001837233009028199
Exceptional,,"clean and comfortable rooms. The breakfast was great and the staff very polite and friendly. Excellent location, 5min walk from the metro station.",10.0,April 2024,"April 10, 2024",Standard Twin Room,5,Family,8,1,0,0,0,1,0,1,0,1,0,0.001837233009028199
Very Good,,Location was convenient to public transportation. Clean.  Staff was helpful.  24 hour reception and food availability.,8.0,October 2023,"December 6, 2023",Standard Double Room,2,Couple,8,1,0,0,0,1,0,1,0,1,0,0.001837233009028199
Good place worth its money,"We enjoyed everything, however if you are sensitive to noise or are afraid of aeroplanes, you may opt the area out. This is because of the landing route of aeroplanes in Lisbon -  every plane landing in Lisbon would literally fly over the hotel roof quote close to the ground. This causes noise. This calms however down at night. However, if you are fascinated by watching planes, this disadvantage can turn into advantage =)","The room: the room was as pictured - a big comfy single bed, a corner wardrobe, a desk and a mini sitting area at the corner, and a TV. The shower was good with a good temperature and great water flow. It was nothing fancy but very comfortable, and we did not need to spend much time indoors as Lisbon was magnificent and worth spending the whole day out. 
The hotel and breakfast: the staff was very welcoming, and the hotel was clean. The breakfast had a few cheese and salami varieties, eggs, yoghurt with toppings, pastries including pasteis de nata, juices, coffee, and fruits. It was again nothing fancy but a good offer to kick the day off. As a bonus, you could take coffee and tea in take-away cups =) 
As a pleasant bonus, the common ironing area is on a top floor =)
The hotel is located in a non-touristic zone, with a 5 min walk to the nearest metro and roughly 10 min walk to the bus and train station Sete Rios, which is very convenient if you are travelling to other cities in Portugal.",8.0,May 2024,"May 26, 2024",Standard Double Room,3,Couple,8,1,0,0,1,1,0,1,0,1,0,0.0018105886074852012
Great place for us. Convenient; great neighborhood.,"Wifi could have been better, but that's not why we were there.","We made two visits, totaling 5 days. Staff was friendly and responsive; the room was exactly what we needed, quiet and comfortable. What excelled was breakfast (generous with variety and time) and the neighborhood (lots of restaurant options within easy walking distance. Groceries and train/bus station also convenient.",10.0,October 2022,"November 13, 2022",Standard Double Room,2,Couple,8,1,0,0,1,1,0,1,0,1,0,0.0018105886074852012
"Decent location, bad wifi, good space and very kind staff.","The wifi was very spotty and I was never warned about this, so my work was regularly interrupted throughout my stay. On my last night, the lamp near the desk was missing a light bulb and could not be repaired, so I could hardly see my work.  The soundproofing was alright, but because the place is near the airport, you might hear a lot of loud airplane noises throughout the day.","Very kind and courteous staff, 5 minute walking distance from pharmacy, supermarket, metro. The food downstairs was delicious and somewhat affordable and the view from the rooms was quite nice.",8.0,November 2021,"November 28, 2021",Standard Double Room,2,Solo traveler,8,1,0,0,1,1,0,1,0,1,0,0.0018105886074852012
We had a nice stay!,"My only regret was paid parking :) But what to do - all spots outside were occupied. Anyway, no complains)","We booked this hotel for the first night in Lisbon before moving on to explore the country more and were very satisfied with our choice - hotel was 15mins drive from the airport but also close to the metro (that we used next day). Staff was very friendly and nice, checkin was pretty fast. Facilities at the hotel itself were great - water in the lobby for all guests, bar where one could have a drink and enjoy football, there was also another restaurant for breakfast but we didn't go there.
Room was just like in all Ibis Hotels around the world - comfortable beds, window with city view, TV, desk, etc... Bathroom with all amenities and shower.",9.0,June 2024,"June 28, 2024",Standard Double Room,1,Couple,8,1,0,1,1,1,0,1,0,1,0,0.0017999472470383543
Not good value for the price - has some good features but could do a lot better.,"The reception team were not very interested, and a little distracted.  The mattress and particularly the pillows were really uncomfortable so we didn´t have a good night´s sleep - if they had been better we would definitely have enjoyed our stay a lot more.  The breakfast was pretty limited, as was the evening menu (all microwaved food).  Not that it could be helped of course, but the hotel is directly underneath the flight path for the airport and the windows are not particularly soundproofed.  The hotel in general felt a bit tired and run down.  We were staying in that part of Lisbon as we had an appointment nearby.  As we presume this is mainly a transit hotel (it´s very close to the airport), the hotel does not succeed in providing a good night´s rest and something tasty and filling to eat.  We have previously stayed in Ibis hotels on route to destinations in other countries and every one of them has been much better than this one for value and comfort.",Hotel was in a great location for our purposes.  The Bar/Restaurant staff were very friendly and helpful.  The room was clean and the shower was good.  There´s a lovely park behind the hotel which was particularly nice as we had our dog with us.,4.0,April 2023,"April 10, 2023",Standard Double Room,1,Couple,8,1,0,1,0,1,0,1,1,1,0,0.0017976984000169284
Very Good,"Room very small (for 3 adult beds) 
Strange furniture, probably rooms was designed initially for 2 beds.
Door to bathroom was not working properly.","Clean room, cleaning services daily.
Quiet and comfortable for the beds.
Air con working good.
Reception very responsive to all requirements.",8.0,June 2022,"June 5, 2022",Double Room with Extra Bed,6,Group,8,1,1,0,0,1,0,0,0,0,0,0.001787665539225513
"The hotel was clean, staff were helpful, but the room size was small for the price that I paid",The room size was small.,The staff were good and helpful. And the room was clean.,6.0,January 2023,"January 20, 2023",Double Room with Extra Bed,1,Family,8,1,1,0,0,1,0,0,0,0,0,0.001787665539225513
Overall it was good.,"It was nice and clean, bed covers/linen were changed everyday bathroom nice and clean. Cleaners did excellent job. Well done.","Everything was ok except the size of the room was far too small. No room to even pass each other to get to bed. Corner cupboards were annoying to put clothes ein and out as access is restricted.
Definitely need a dressing table there is no place to do makeups or put toiletries. 
Maybe have more staffs speaking English as it’s an international hotel.
Staffs were friendly even the cleaners were very helpful. Iron should be available in every floor.",6.0,August 2022,"August 28, 2022",Double Room with Extra Bed,4,Family,8,1,1,0,0,1,0,0,0,0,0,0.001787665539225513
Ideal for a short stay and close to a Metro station and Sete Rios coach station,Small rooms,Clean and comfortable rooms. Helpful staff.,8.0,November 2023,"November 22, 2023",Standard Double Room - Mobility Access,1,Couple,8,1,1,0,0,1,0,0,0,0,0,0.001787665539225513
"Enjoyable, uncomplicated and hassle free would stay again.",The shower floor was a little bit slippy could have done with a shower matt both inside the shower and outside before you step onto the floor. Extra pillow would be nice.,The staff where very helpful. The room was clean and comfortable.,10.0,November 2022,"November 14, 2022",Standard Double Room,2,Family,8,1,1,0,0,1,0,0,0,0,0,0.001787665539225513
Very Good,"Small beds, the room was a squeeze for 2 people","Clean, friendly and helpful staff",8.0,July 2022,"July 29, 2022",Standard Twin Room,4,Group,8,1,1,0,0,1,0,0,0,0,0,0.001787665539225513
Nice but noisy hotel.,"Noisy. We hear all the airplanes that fly over Lisbon.
Plus our floor was full of people that left their doors open while they talked to each other from one room to another.
I suggest the hotel pays more attention when reserving bedrooms for a large group of people.","Nice staff, nice hotel, very clean, close to the metro station.",8.0,May 2022,"June 22, 2022",Standard Double Room,7,Couple,8,1,1,0,0,1,0,0,0,0,0,0.001787665539225513
Overall value for money and the staff where very helpful when  required,"Although room was clean and matched requirements it was a little outdated
Patio area could do with a clean up and parsol was in poor condition not a a good look needs replacing",Room was clean and serviced well when needed,7.0,October 2022,"October 12, 2022",Standard Double Room,7,Couple,8,1,1,0,0,1,0,0,0,0,0,0.001787665539225513
Very Good,There could have been a kettle in the room for coffees/teas,"Good location, very good breakfast, decent sized rooms",8.0,March 2024,"March 30, 2024",Standard Double Room,5,Couple,8,1,1,0,0,0,0,1,0,1,0,0.0017830012062035703
Good for a conference stay,The design of the rooms was not so beautiful. And also the look from the window is not special.,"The personell was very kind. The room was nicely warm. The room was well sound insulated. For who wants it, there is long breakfast. Fundacao Calouste Gulbekian and Nova university are close. It is reasonably reachable from the airport by public transport with a 10-15 min walk from the direct metro line.",9.0,February 2023,"February 12, 2023",Standard Double Room,1,Solo traveler,8,1,1,0,0,0,0,1,0,1,0,0.0017830012062035703
Very Good,Need a garbage can in the room.,Breakfast is outstanding! The location es perfect! It's clean and comfortable.,8.0,April 2023,"April 23, 2023",Standard Double Room,4,Group,8,1,1,0,0,0,0,1,0,1,0,0.0017830012062035703
Over all our stay is good. Staff are very helpful and accommodating which is very important.,Wish for more space for luggage. It's hard to arrange the luggages. No coffee maker / electric kettle inside the room but can request hot water in the bar for free.,"Breakfast is fantastic. The room is quite small but good enough for 2 pax. The Hotel cleanliness is Ok. Location is accessible to train, about 8-10 mins walk but the area is safe.",8.0,May 2024,"May 13, 2024",Standard Double Room,2,Couple,8,1,1,0,1,0,0,1,0,1,0,0.0017620789498970788
Decent hotel in good location,"Weak shower water pressure, sounds really travel from hallway ex: other guests talking and door slamming","Comfortable bed, large bathroom, good location to park areas and bus station, had a nice restaurant/bar area and a vending machine in the lobby, a couple of other restaurants and a Chinese Bazar close by if you need to pick up extra things like souvenirs or an extra bag before you leave.",7.0,July 2023,"August 1, 2023",Standard Twin Room,1,Solo traveler,8,1,1,1,0,0,0,1,0,1,0,0.0017578896569019466
Basic stay with decent breakfast at the edge of the city centre wider area.,"The breakfast didn't have any vegetables, which was a bit strange. The hotel is located on the pathway of aeroplanes, which can be pretty loud all day and especially night, so you need to close your window, and it can get hot. The rooms were simple, no kettle, refrigerator, safe or anything, just a basic bed, nightstand, TV.","Pastis de Nata for breakfast was a nice touch, also the freshly squeezed orange juice that you make on your own. The WiFi was working good all the time, the cleanliness is on a good level and the location is relatively close to the metro station although not exactly at the center of the city. The personnel is nice and smiling, always at disposal.",8.0,May 2023,"June 1, 2023",Standard Double Room,7,Couple,8,1,1,1,0,0,0,1,1,1,0,0.0017534134702061083
