Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
"Reasonable for its price, at a great location. But don’t expect nothing crazy.","Had to walk through some narrow stairways to get to the room. Felt like a maze in a dungeon. 

Toilets and showers are shared, but feels rather outdated.","As long as you’re nice, staff will be too. We even got an early check in. 

Location is conveniently situated by Kings Cross Station. 

Price was cheap and rooms were quiet. 

Perfect for a one night sleep during a layover or if you intend on leaving at St Pancras Int.",5.0,July 2024,"July 29, 2024",Twin Room with Shared Bathroom,1,Couple,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
basic but great location for tube,our room was in the basement the stairs leading down were dangerous no light until half way down and no hand rail,location was great staff were friendly and room was ready early,7.0,April 2023,"April 24, 2023",Double Room,2,Couple,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
"another great stay at this great hotel, lovely staff and clean affordable rooms in amazing location","decor is a bit tired, doesnt bother me at all (and room rates reflect this), but others might be bothered","friendly helpful staff, brilliant location, clean safe accommodation highly recommended",9.0,May 2023,"May 17, 2023",Triple Room,1,Solo traveler,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
great value for the location and everything you need,small bathroom. thin walls.,very good location. clean and convenient.,7.0,April 2023,"May 1, 2023",Double Room,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Good,"Very basic room, no desk/table.",Very good value for money given excellent location right by Kings Cross/St Pancras. Reasonably clean and comfortable,7.0,April 2023,"April 20, 2023",Double Room with Shared Bathroom,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
"low budget, don’t expect anything fancy.   was a very basic room but kept clean.  we only slept there, didn’t plan (or w",shared bathroom.  there wasn’t toilet paper and the toilet was always left “messy”.  washrooms did not smell good.,"location.  easy to find, safe street, close to train.  room was clean",6.0,October 2022,"November 22, 2022",Twin Room with Shared Bathroom,2,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Good location for St Pancras,"Double bed was very small indeed, not suitable for a tall or even average sized couple. I'd call it a large single rather than a double. Not accessible. Also, rather thin walls and the area and other residents were quite noisy, ear plugs recommended.","Good location for getting the Eurostar, across the road and a 5 minute walk. Cheap for the area. Clean with private bathroom. Mattress, though very small, was comfortable.",5.0,April 2023,"May 1, 2023",Double Room,1,Couple,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
great location and friendly staff,very small bathroom,location to train station and tube was great -  the not great point was the very small bathroom,6.0,July 2022,"July 4, 2022",Single Room,6,Group,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
"Fine for 1 night, nothing more","Lukewarm shower
Noisy from the road (its single paned windows)
No deadbolt on inside of the door
No hairdryer","24 hour check in - simple and quick
Clean ensuite room 
Comfortable bed
Easy location",5.0,February 2024,"February 29, 2024",Double Room,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
adequate for what I paid. excellent location. Staff were very helpful and friendly,"toilet could have been modernised and better finished, ditto shower.","great location, clean room but toilet in a poor state (old, a bit ""bodged"", appeared not looked after) Shower was there, but looked too small to be comfortable or bother using.",5.0,April 2022,"May 23, 2022",Single Room,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
"Excellent value for money for the location. If you just need a place to sleep in this location, would recommend",Rooms were tiny but for the price I don’t think you can expect much more. The double was smaller than a standard double and more like a 3/4 sized double. Comfortable still.,"The location is excellent, we were travelling from St Pancras Intl the next day and I don’t think you could get any closer! It was very clean.",7.0,April 2024,"May 6, 2024",Double Room,1,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Good if the windows are not in the courtyard,"It is very difficult to fall asleep in a room with windows overlooking the courtyard, because the ventilation is noisy all day long.","Great location and very clean rooms, towels. 
Coffee, tea, milk, a kettle, cups, teaspoon in a room.",7.0,August 2023,"August 26, 2023",Twin Room,2,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
"Incredibly pleasant, would stay again","- It was incredibly loud outside during the night BUT I understand that this isn’t the fault of the hotel 
- No plug for the sink so was difficult to wash my face 
- Bed was a little squeaky but this didn’t disturb my sleep at all","- The location was absolutely perfect, so central and close to Kings Cross 
- My room was ready for me at 11am so was able to check in early 
- Had everything I need in the room: cupboard with hangers, TV, sink with mirror and soap, desk/vanity, small light, small table. 
- Toilet and shower were right next to the room 
- Nice and clean
- Bedsheets and pillows were just the right thickness",9.0,May 2024,"June 16, 2024",Single Room with Shared Bathroom,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
"Veey nasic, but gave a good night sleep, in great location at reasonable price.","Smellof smoke in entrance
Bathroom tiny and only partitioned off bedroom","Comfortable bed
Great location",6.0,May 2022,"May 12, 2022",Quadruple Room,1,Group,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
You're paying for a clean hotel in a perfect location. Don't expect more than that.,"No frills, tiny room, separate shower rooms and tired decor.","Location is great, room comfortable. 24hr front desk.",7.0,November 2022,"November 27, 2022",Single Room with Shared Bathroom,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
"Great location, ok facilities","The bed was kind of hard, and the shower was pretty small, but both were ok. Between other people coming up the stairs and London right outside the window, it was a bit loud, but sound isolation between the rooms seemed good.","The location is unbeatable - it's a few meters from an entrance to St. Pancreas that runs below a busy road. The room included a shower, towel, bed, kettle, etc. It's ideal for catching an early train.",7.0,February 2024,"February 7, 2024",Single Room,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
decent place to stay for those on a budget,room a little hot but opened the window,"there are some pretty scathing reviews about this place and it’s absolutely fine for the price

good location - nice to have my own bathroom for the price",6.0,February 2022,"February 16, 2022",Single Room,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Perfect location - ok rooms,Shower was very small. They should provide more hooks or shelves to put your clothing on.,"Perfect location. Small room but the room was clean, so I don't get all the bad reviews.",8.0,June 2024,"June 13, 2024",Single Room with Shared Bathroom,2,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Loved it.,Lots of stairs. No outlet in the bathroom.,Location and price are fantastic. Room was good.,8.0,April 2024,"April 28, 2024",Triple Room,7,Group,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Pleasant,"Uncomfortable bed. 
Poor shower pressure","Location 
Room was a comfortable temperature. 
Bedding was clean.",6.0,March 2022,"March 15, 2022",Double Room,2,Couple,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
it served its purpose as the location was very convenient.,the communal shower and toilet wasn’t great.,the location was perfect and the bed was comfortable.,7.0,July 2023,"July 22, 2023",Single Room with Shared Bathroom,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
OK for a one night stopover,The twin bedroom found after following the assistant down a labyrinth of narrow corridors was tiny just about fitting the two beds and a sink. The bathroom was not clean. The whole place needs renovation.,The location was excellent so close to Kings Cross station. Bed linen was clean and bed comfortable. Price low compared to other hotels in the area.,6.0,July 2023,"July 22, 2023",Twin Room with Shared Bathroom,1,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
"For what we need the room for it was fine, just a few hours to get our heads down.","Our room was lower level, that was ok unless you had large cases etc, door only secured by. Night latch, could do with a freshen up in the corridors.","Location was excellent, we were only in the room for a few hours as had an early departure from King’s Cross station. It was warm in the room. Beds were basic but comfortable, if we were staying longer then a bigger room would of been more suitable but for us it was fine.",5.0,January 2023,"January 29, 2023",Twin Room,1,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
I really enjoyed my stay at the Belgrove Hotel. The location was what made the stay so much better.,"The rooms are nothing special, of average/poor quality, but all in all it was a good stay.","The location was what made my vacations so much better. I stayed in a room without a bathroom, but we were staying right next door, which was no problem for us.",7.0,March 2024,"March 11, 2024",Twin Room with Shared Bathroom,3,Couple,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Fair,"It needs better cleaning, I work in a hotel and if I left the bathroom so stained they would make me clean it again
and the number of doors between hallways is worrying, especially since they only open in one direction.","The location, it was near to the train station and other place to see and eat. 
The room had everything essential and the best thing is that I didn't have to share it with anyone.",5.0,March 2024,"March 16, 2024",Single Room with Shared Bathroom,3,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Value for the money if you only need a place to sleep.,Room was very small and a bit noisy.,Location is perfect and property is clean.,5.0,March 2024,"March 25, 2024",Single Room,2,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
"Excelent for a night or 2, value for money","The shower was very smelly, smelled of sewage","Location is superb, my room had everything I needed. Excellent value for money. It wasn’t noisy being so close to train station.",7.0,December 2023,"December 28, 2023",Single Room,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
"No frills, but just fine!","I prefer white bedspread and duvet rather than printed, as printed could be hiding some secrets.","Great location, clean room. Just what I needed for 1 night. Shower pressure was also fine. Even had coffee and kettle.",6.0,June 2023,"July 4, 2023",Double Room,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Good,Small room. Old furniture. Small bed,Clean room. Realy good location,7.0,March 2024,"March 30, 2024",Double Room,2,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Pleasant,"The room was very small, all the hotel is very basic, but for the value of money it was ok. Actually it was much better than it looked from the first glance. 
The actual room does not look as good as in the photos :)","Taking into account the overall prices of hotels in London, this was a really good value of money. Our room had a garden view, therefore it was very silent and we had a great night sleep. We did not hear other guests as well. It was good to have the sink and tea kettle in the room.",6.0,July 2022,"July 4, 2022",Double Room with Shared Bathroom,2,Couple,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
"A no-frills place, ok just to sleep and go but not very comfortable.","The ‘double’ bed was very narrow, not really big enough for two people. Very basic room, but exactly what we expected for the price.",Very convenient location for Kings Cross. Easy and quick check-in and the room was clean.,7.0,July 2023,"July 6, 2023",Double Room,1,Couple,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Overall good budget hotel for a short stay!,Quite dated but it was clean. It was really warm when we stayed and there was no air con/fans. Just the window to open to let air in which was an old fashion style hatched window.,It was clean and the location is fab for central London. Really close to the tube station literally at the end of the street. Few mins walk to King’s Cross station!,6.0,June 2023,"June 19, 2023",Triple Room,1,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
A clean and comfortable option for the budget-concious traveller,"A word to travellers who might want to sleep or pass the time quieltly in their rooms between the hours of 8am and 6pm: the entire side of Belgrove Street, opposite the hotel, is currently (May 2024) a massive construction site. This isn't bothersome if you are up early and out for the day, but if you are likely to want time in your room to work or nap for the afternoon, you might want to look for a hotel not on Belgrove St.","Location-wise, this hotel is ideally situated for travellers coming to London for short breaks or work trips via the train to Kings Cross or St Pancras. It was incredibly clean, and the lack of ensuite shower or bathroom was not very bothersome; there were toilets are either end of the hall, and plenty of showers, so I never had to wait for either. Both the toilets and showers had robust ventillation systems, so no smelliness either.",6.0,May 2024,"May 23, 2024",Single Room with Shared Bathroom,2,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
This hotel is across from Kings Cross St Pancras Station. Perfect for early Eurostar the next day.,Bathroom.,"Room was very small but adequate for one night, location was great for early train the next morning, rate was acceptable.",7.0,September 2022,"September 27, 2022",Twin Room,1,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Very Good,"The walls are extremely thin, you can hear people talk in the rooms next to and above you.","The location is amazing. Coffee and tea are available in the rooms. The rooms are cozy and tidy, although a bit worn down already.",8.0,January 2023,"February 14, 2023",Double Room,5,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Pleasant,the bathroom/shower was in need of overhaul,This is a budget hotel but our room was clean and we had a decent night’s sleep.  For Kings Cross St Pancras stations the location is perfect,6.0,October 2022,"October 6, 2022",Twin Room,1,Couple,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
It worths the money you pay,bathroom and shower so small and uncomfortable,Location. Room clean.,6.0,September 2022,"October 4, 2022",Single Room,3,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
AUGUST 12TH - 16TH 2024,"When your in London your out all day - I was only in the room to sleep and get changed but it was small but it didn't matter.

If you want posh then pay posh prices - this was great for us.","Brilliant location for King's Cross about 200m from the entrance - you can leave baggage before and after check in / out.

You cannot get any closer to the station - will be back .

There was a sink and mirror in the room so you could have a shave . TV also bed was comfy .",8.0,August 2024,"August 16, 2024",Double Room,3,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Very Good,"There was not anything I didn't like, but the room was very small.","The location to Kingscross station was perfect.
The room was clean and neat.",8.0,August 2023,"August 8, 2023",Single Room,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Great cheaper option for an early train,"You can hear everyone in the other rooms, and it felt a little claustrophobic.","Location, tea, kettle, TV, clean, towels, clean bathrooms.",6.0,July 2024,"July 14, 2024",Twin Room with Shared Bathroom,1,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
I chose it because of price and location.,The blind in my room was broken. There were drunks outside. It felt a bit unsafe.,Thé best thing about the hotel is the price and the location. The bed was comfortable.,5.0,May 2023,"May 24, 2023",Single Room with Shared Bathroom,2,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Very pleasant,Double bed smaller than I realised,"It's not fancy, but it's a cheap and comfy room in an excellent location in the city, just over the road from King's Cross and a short walk from Euston. I booked well in advance and this was the best deal I found, I was able to pay on arrival and they honoured the price on the original booking, no problems. Will probably stay again.",7.0,June 2022,"July 25, 2022",Double Room,1,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Cheap and cheerful but pretty noisy,Walls are extremely thin meaning it depends on who else is staying as to whether you get a good night sleep or not. As the rooms are very small you feel a bit too close to other guests. I didn't use the shower as it didn't look very clean. only one toilet for quite a few rooms.,Good enough basic hotel in convenient location. Room was clean and perfectly fine. Basic shared bathroom and shower.,5.0,May 2022,"July 11, 2022",Single Room with Shared Bathroom,2,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
It served it's purpose for somwewhere cheap and close to St Pancras for one night.,"Bathroom very old, but for one night was passable.
Ancient lump of soap on shelf which looked gross.","Good location, close to St Pancras for early morning Eurostar.
Room and bedding clean.",5.0,July 2022,"August 1, 2022",Twin Room,1,Group,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
If you want a budget hotel close to a major transport hub this is suitable for an overnight stay.,"Very small room, TV issues and disappointed that my advance request for a specific type of room was ignored. Language barrier at reception so not really able to converse with them.","Location, location, location - just across the road from Kings Cross station.
Able to get a room with toiled, shower and kettle for under £100",5.0,July 2022,"August 2, 2022",Single Room,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Fair,"Very small, very uncomfortable bed. We slept very badly","Location. Very short walk to King's Cross/ St Pancras Station
Room clean",5.0,May 2023,"May 13, 2023",Double Room,1,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Good for short stay.,Room for 4 persons very cramped.,"Great location, just opposite King Cross and Pancras stations. Room cleaned daily. Hot water.",6.0,September 2022,"September 22, 2022",Quadruple Room,12,Group,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Excellent location.,Bed was too small for two. No shower gell and bath mat .,Excellent location. It serves the purpose. Good for a quick stay   . Bed was too small for two adults,5.0,October 2023,"October 15, 2023",Double Room,2,Group,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Good,Room is very small.. difficult to negotiate stairs with large suitcases.,Great location and clean and comfortable.,7.0,June 2023,"June 15, 2023",Double Room,2,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
"Good location and clean, but basic.",Room was very hot (no a/c)  Bathroom very cramped. Single room at £75 seemed quite expensive for what it was.,"Great location for Eurostar, And clean",6.0,August 2022,"August 17, 2022",Single Room,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Quick and nice place to rest,Bathroom,Booked last minute due to cancelled flight great location just didn’t like the fact that shower and toilet was in different rooms,5.0,September 2023,"September 11, 2023",Triple Room,1,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
basic hotel with increasing cost,price (for what is a really basic and dated room) has jumped massively over the last 6 months by over 30%,great location and very clean,5.0,May 2023,"May 4, 2023",Single Room,1,Solo traveler,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
Fair,room was small double bed was more like a 4ft. shower room was small  difficult to use with the toilet and sink across the passage,"location was ideal as we walked and used the local buses as we were next to kings cross
room was very basic but clean comfortable bedding and fresh white towels daily",5.0,June 2024,"June 6, 2024",Triple Room,3,Family,5.9,1,1,0,0,0,0,0,0,1,0,0.00112858766221151
